order_id,product_id,quantity,unit_price,discount_percentage,discount_amount,gross_sales,tax_amount,shipping_cost,net_sales,product_cost,profit
ORD-462837,PROD-000764,4,70.89,0.1587361369066669,45.01,283.56,47.71,9.18,295.44,142.56,143.7
ORD-489267,PROD-000238,1,93.39,0.0,0.0,93.39,18.68,12.96,125.03,39.03,73.04
ORD-148866,PROD-000224,1,99.83,0.0063939873733768,0.64,99.83,6.94,15.14,121.27,35.14,70.99
ORD-370340,PROD-000641,5,423.46,0.3758568249388393,795.8,2117.3,132.15,5.84,1459.49,848.95,604.7
ORD-466911,PROD-000055,4,1023.59,0.3404495670662327,1393.92,4094.36,189.03,15.26,2904.73,2485.92,403.55
ORD-326867,PROD-000334,1,186.71,0.1110847330260494,20.74,186.71,11.62,3.05,180.64,73.99,103.6
ORD-329568,PROD-000756,1,194.92,0.0618088239729537,12.05,194.92,12.8,3.53,199.2,97.06,98.61
ORD-327788,PROD-000316,1,19.23,0.1555754300086409,2.99,19.23,3.25,4.6,24.09,7.39,12.1
ORD-803433,PROD-001175,1,87.88,0.0837532552047272,7.36,87.88,16.1,12.06,108.68,28.58,68.04
ORD-243131,PROD-000720,3,114.16,0.0986672236659171,33.79,342.48,30.87,5.07,344.63,158.43,181.13
ORD-144072,PROD-000145,3,532.75,0.135049318109565,215.84,1598.25,96.77,6.27,1485.45,679.71,799.47
ORD-352338,PROD-001143,2,173.38,0.1523843148907428,52.84,346.76,58.78,20.05,372.75,158.18,194.52
ORD-309856,PROD-000511,5,31.79,0.0902911352401323,14.35,158.95,10.12,5.88,160.6,67.1,87.62
ORD-875583,PROD-000989,1,863.71,0.0761962592593629,65.81,863.71,55.85,6.3,860.05,527.17,326.58
ORD-520789,PROD-000986,3,709.87,0.3866410208393397,823.39,2129.61,91.44,2.91,1400.57,1317.57,80.09
ORD-703839,PROD-001118,1,133.21,0.1641287756376642,21.86,133.21,7.79,5.69,124.83,70.2,48.94
ORD-520957,PROD-000440,2,372.51,0.0,0.0,745.02,52.15,3.97,801.14,279.0,518.17
ORD-487730,PROD-000970,3,264.82,0.0941865932130765,74.83,794.46,50.37,14.67,784.67,390.3,379.7
ORD-728498,PROD-000658,1,502.38,0.0489318921340593,24.58,502.38,33.45,3.9,515.15,242.11,269.14
ORD-952916,PROD-000693,4,158.5,0.6,380.4,634.0,17.75,3.04,274.39,339.44,-68.09
ORD-618470,PROD-000484,1,57.83,0.2285729523258347,13.22,57.83,3.12,3.27,51.0,23.1,24.63
ORD-822250,PROD-000268,3,31.36,0.0847571757994509,7.97,94.08,6.03,14.57,106.71,41.79,50.35
ORD-321468,PROD-000391,1,318.04,0.0774314494996233,24.63,318.04,58.68,4.6,356.69,204.93,147.16
ORD-809965,PROD-000387,1,439.13,0.0,0.0,439.13,87.83,2.45,529.41,157.55,369.41
ORD-406598,PROD-000485,2,70.82,0.1482479054194438,21.0,141.64,24.13,12.17,156.94,58.66,86.11
ORD-243766,PROD-000587,1,35.3,0.1578221017947823,5.57,35.3,2.08,3.62,35.43,15.43,16.38
ORD-483067,PROD-000257,3,57.89,0.274624663774812,47.69,173.67,8.82,5.91,140.71,87.75,47.05
ORD-334136,PROD-000662,2,300.12,0.2368354990174624,142.16,600.24,87.04,19.6,564.72,264.14,280.98
ORD-373327,PROD-000502,2,33.89,0.1843209153817513,12.49,67.78,2.76,7.68,65.73,25.48,32.57
ORD-132315,PROD-000567,2,193.18,0.0478033929798874,18.47,386.36,25.75,12.23,405.87,168.98,224.66
ORD-675758,PROD-000471,2,24.41,0.0193873194617692,0.95,48.82,8.62,9.76,66.25,15.74,40.75
ORD-657478,PROD-000237,3,45.65,0.1052179838782473,14.41,136.95,24.51,4.93,151.98,64.41,82.64
ORD-310458,PROD-000654,1,475.68,0.0951266777649351,45.25,475.68,86.09,12.54,529.06,207.16,309.36
ORD-584798,PROD-000646,3,486.89,0.0365823721599289,53.43,1460.67,98.51,15.31,1521.06,702.51,803.24
ORD-180241,PROD-000398,1,301.53,0.1318519532016408,39.76,301.53,18.32,3.81,283.9,136.82,143.27
ORD-642887,PROD-000061,1,643.39,0.1075282840545492,69.18,643.39,40.19,0.75,615.15,336.3,278.1
ORD-653027,PROD-000526,2,16.7,0.0,0.0,33.4,2.34,21.1,56.84,10.18,25.56
ORD-162289,PROD-000960,5,244.45,0.0611579940648384,74.75,1222.25,80.32,15.38,1243.2,705.65,522.17
ORD-672103,PROD-000359,2,395.27,0.1670231304639066,132.04,790.54,46.1,12.03,716.63,361.24,343.36
ORD-483366,PROD-000569,2,96.31,0.1723230249358134,33.19,192.62,11.16,15.16,185.75,62.88,107.71
ORD-756308,PROD-000656,2,360.91,0.3448622242357527,248.93,721.82,33.1,3.26,509.25,328.68,177.31
ORD-178943,PROD-000686,2,408.03,0.1970784852647097,160.83,816.06,45.87,23.64,724.74,439.6,261.5
ORD-662115,PROD-000806,1,241.36,0.1750330202566815,42.25,241.36,39.82,1.7000000000000002,240.63,95.59,143.34
ORD-422486,PROD-000259,4,121.62,0.3013288987927947,146.59,486.48,23.79,3.34,367.02,164.16,199.52
ORD-320990,PROD-000095,1,362.91,0.0077575297554915,2.82,362.91,25.21,14.74,400.04,153.69,231.61
ORD-307562,PROD-001018,2,50.89,0.3850205794944156,39.19,101.78,4.38,0.27,67.24,32.28,34.69
ORD-147632,PROD-000583,3,18.55,0.0716186345643773,3.99,55.65,3.62,6.02,61.3,20.31,34.97
ORD-968789,PROD-000187,2,231.44,0.0,0.0,462.88,92.58,9.3,564.76,225.0,330.46
ORD-558920,PROD-000542,1,77.03,0.2448422482108919,18.86,77.03,4.07,15.2,77.44,25.81,36.43
ORD-903119,PROD-001139,2,237.28,0.4015796832057181,190.57,474.56,19.88,5.61,309.48,209.54,94.33
ORD-610448,PROD-000602,1,69.86,0.0053677903999675,0.37,69.86,4.86,2.85,77.2,27.07,47.28
ORD-949201,PROD-000487,2,25.1,0.3345844459521908,16.8,50.2,4.34,7.04,44.78,21.68,16.06
ORD-204913,PROD-000043,5,1263.42,0.2778687009782484,1755.32,6317.1,866.74,12.58,5441.1,4246.0,1182.52
ORD-600751,PROD-000986,4,709.87,0.2591627978565154,735.89,2839.48,273.47,3.75,2380.81,1756.76,620.3
ORD-339138,PROD-000251,5,26.37,0.43734782237315,57.66,131.85,5.19,6.47,85.85,70.55,8.83
ORD-408312,PROD-000991,2,411.49,0.00227512475357,1.87,822.98,57.48,6.26,884.85,369.44,509.15
ORD-523030,PROD-000165,1,97.67,0.0121385532052211,1.19,97.67,6.75,24.23,127.46,34.81,68.42
ORD-412235,PROD-001164,2,132.77,0.2362430601379482,62.73,265.54,14.2,5.71,222.72,85.28,131.73
ORD-319908,PROD-000966,3,882.09,0.1377724951521738,364.58,2646.27,433.52,5.45,2720.66,1486.47,1228.74
ORD-141407,PROD-000799,5,268.68,0.1365138445895663,183.39,1343.4,232.0,4.67,1396.68,586.35,805.66
ORD-581715,PROD-000590,1,103.06,0.137917623235234,14.21,103.06,17.77,17.22,123.84,40.6,66.02
ORD-763841,PROD-000412,3,39.79,0.4213788109676804,50.3,119.37,4.83,3.21,77.11,65.13,8.77
ORD-385997,PROD-000370,1,306.92,0.1233424959629096,37.86,306.92,18.83,6.45,294.34,160.83,127.06
ORD-167091,PROD-000916,3,276.74,0.295800512309794,245.58,830.22,40.92,3.48,629.04,393.09,232.47
ORD-961103,PROD-000781,2,229.09,0.3373546413805204,154.57,458.18,21.25,21.37,346.23,168.5,156.36
ORD-151004,PROD-000406,1,129.87,0.1374504410186267,17.85,129.87,7.84,6.01,125.87,48.66,71.2
ORD-946291,PROD-001139,2,237.28,0.3801136240177946,180.39,474.56,52.95,0.0,347.12,209.54,137.58
ORD-620613,PROD-000598,1,151.43,0.0680385763778003,10.3,151.43,28.23,12.83,182.19,64.82,104.54
ORD-429784,PROD-000991,2,411.49,0.0139069733620413,11.45,822.98,162.31,12.04,985.88,369.44,604.4
ORD-531343,PROD-000823,2,104.83,0.0935505960901922,19.61,209.66,13.3,12.2,215.55,64.96,138.39
ORD-354113,PROD-000548,1,68.94,0.2393515071001679,16.5,68.94,3.67,3.4,59.51,27.86,28.25
ORD-292401,PROD-000654,1,475.68,0.0518890384423527,24.68,475.68,31.57,15.29,497.86,207.16,275.41
ORD-284197,PROD-000378,3,260.54,0.0565619834524934,44.21,781.62,147.48,1.6900000000000004,886.58,292.56,592.33
ORD-365874,PROD-000693,1,158.5,0.1727544941622123,27.38,158.5,9.18,6.37,146.67,84.86,55.44
ORD-161631,PROD-000916,1,276.74,0.1475389441364852,40.83,276.74,16.51,21.28,273.7,131.03,121.39
ORD-196352,PROD-000655,1,507.09,0.0120048954022143,6.09,507.09,100.2,5.03,606.23,261.23,339.97
ORD-601295,PROD-001134,1,177.24,0.1397235377166683,24.76,177.24,28.97,12.84,194.29,56.15,125.3
ORD-507885,PROD-001147,4,279.17,0.3495992168652134,390.39,1116.68,50.84,24.07,801.2,594.4,182.73
ORD-127429,PROD-000818,1,241.94,0.1691304680079073,40.92,241.94,14.07,2.72,217.81,106.32,108.77
ORD-185905,PROD-000669,1,177.73,0.0626636088062635,11.14,177.73,11.66,3.58,181.83,111.58,66.67
ORD-559700,PROD-000142,3,446.09,0.4057988621530487,543.07,1338.27,151.09,20.31,966.6,554.58,391.71
ORD-661851,PROD-000878,1,250.79,0.1270679629918786,31.87,250.79,41.59,2.92,263.43,75.57,184.94
ORD-998628,PROD-000890,3,233.3,0.2233651282548085,156.33,699.9,38.05,2.76,584.38,365.04,216.58
ORD-442912,PROD-000536,1,46.33,0.0772172061249164,3.58,46.33,4.28,19.11,66.14,14.53,32.5
ORD-971696,PROD-000108,1,600.22,0.1092978404895089,65.6,600.22,37.42,2.52,574.56,339.15,232.89
ORD-528767,PROD-001172,1,246.92,0.1117920444532882,27.6,246.92,15.35,15.44,250.11,126.7,107.97
ORD-179421,PROD-000097,1,300.58,0.0,0.0,300.58,60.12,12.62,373.32,164.63,196.07
ORD-739068,PROD-000261,3,107.15,0.2276421562816354,73.18,321.45,17.38,6.12,271.77,140.04,125.61
ORD-929792,PROD-000913,5,347.09,0.3736279668527828,648.41,1735.45,206.54,2.75,1296.33,804.1,489.48
ORD-913126,PROD-001131,2,103.68,0.0685949586877772,14.22,207.36,13.52,12.33,218.99,108.76,97.9
ORD-684535,PROD-000834,1,107.82,0.1366614012865236,14.73,107.82,6.52,6.12,105.73,54.65,44.96
ORD-503137,PROD-000578,1,130.42,0.0208227500447742,2.72,130.42,8.94,5.69,142.33,56.31,80.33
ORD-852201,PROD-000720,1,114.16,0.0942959789811178,10.76,114.16,7.24,6.01,116.65,52.81,57.83
ORD-309222,PROD-001073,1,20.7,0.1530235222837091,3.17,20.7,1.23,11.81,30.57,5.19,13.57
ORD-405766,PROD-000866,4,196.08,0.1459200198960209,114.45,784.32,46.89,6.33,723.09,288.52,428.24
ORD-832120,PROD-001065,2,95.52,0.0,0.0,191.04,13.37,6.45,210.86,63.36,141.05
ORD-747202,PROD-001174,2,71.13,0.0,0.0,142.26,28.45,9.49,180.2,50.84,119.87
ORD-770578,PROD-000887,1,86.02,0.1459320797571337,12.55,86.02,14.69,16.7,104.86,42.77,45.39
ORD-588192,PROD-000606,3,194.05,0.3014948448923527,175.52,582.15,81.33,9.19,497.15,217.65,270.31
ORD-955206,PROD-000527,2,52.5,0.0,0.0,105.0,7.35,3.75,116.1,42.98,69.37
ORD-141718,PROD-000309,1,178.71,0.1033107047860347,18.46,178.71,32.05,5.29,197.59,63.55,128.75
ORD-526603,PROD-000551,1,12.53,0.061064642708214,0.77,12.53,0.82,5.57,18.15,4.52,8.06
ORD-239823,PROD-000402,4,178.71,0.156143770014352,111.62,714.84,114.61,12.75,730.58,355.0,362.83
ORD-866139,PROD-000304,1,63.16,0.0786274852199391,4.97,63.16,11.64,4.66,74.49,28.27,41.56
ORD-215662,PROD-000661,1,127.94,0.1550468996580229,19.84,127.94,7.57,12.31,127.98,81.98,33.69
ORD-163034,PROD-000594,3,170.56,0.41008877127989,209.83,511.68,54.33,4.25,360.43,158.43,197.75
ORD-938297,PROD-000637,3,209.62,0.0925451909985838,58.2,628.86,114.13,1.63,686.42,279.63,405.16
ORD-793545,PROD-001044,5,84.66,0.0679583579165877,28.77,423.3,27.62,6.1,428.25,191.0,231.15
ORD-225482,PROD-000837,4,213.27,0.0021179928934063,1.81,853.08,59.59,3.05,913.91,446.4,464.46
ORD-348516,PROD-000518,2,52.11,0.4633425452556671,48.29,104.22,3.92,3.81,63.66,48.34,11.51
ORD-107314,PROD-000955,4,952.94,0.1574698387304138,600.24,3811.76,224.81,3.23,3439.56,2189.8,1246.53
ORD-290203,PROD-000802,4,84.69,0.0,0.0,338.76,23.71,3.4000000000000004,365.87,158.96,203.51
ORD-230514,PROD-001033,3,97.82,0.3316050597432671,97.31,293.46,13.73,6.48,216.36,80.85,129.03
ORD-808973,PROD-000269,2,69.38,0.1493857958505214,20.73,138.76,21.25,9.94,149.22,67.18,72.1
ORD-523622,PROD-000290,1,35.47,0.157365976313912,5.58,35.47,3.89,4.48,38.26,18.28,15.5
ORD-874576,PROD-000134,2,628.18,0.0006717316449335,0.84,1256.36,87.89,5.71,1349.12,534.94,808.47
ORD-878311,PROD-000054,1,1146.68,0.0129217855106446,14.82,1146.68,79.23,24.11,1235.2,657.69,553.4
ORD-363846,PROD-001116,1,217.76,0.0840969472542376,18.31,217.76,19.94,5.699999999999999,225.09,80.08,139.31
ORD-562733,PROD-000710,3,116.25,0.4220282990631205,147.18,348.75,14.11,14.52,230.2,231.78,-16.1
ORD-835610,PROD-000258,1,128.5,0.0036610559735538,0.47,128.5,8.96,3.88,140.87,42.65,94.34
ORD-556039,PROD-000409,1,224.37,0.1827177470876926,41.0,224.37,12.84,3.47,199.68,121.51,74.7
ORD-367703,PROD-000038,3,409.59,0.0,0.0,1228.77,86.01,5.76,1320.54,842.85,471.93
ORD-839040,PROD-001157,1,252.84,0.0169296500335171,4.28,252.84,17.4,3.08,269.04,86.58,179.38
ORD-804719,PROD-001129,2,19.77,0.4594105178219046,18.17,39.54,1.5,15.35,38.22,20.56,2.31
ORD-567030,PROD-000625,2,108.58,0.2214412851095188,48.09,217.16,33.81,9.65,212.53,110.78,92.1
ORD-694357,PROD-000553,2,48.77,0.2804996242865829,27.36,97.54,12.63,13.260000000000002,96.07,35.22,47.59
ORD-238571,PROD-000414,3,113.12,0.4428704481759444,150.29,339.36,35.92,5.44,230.43,207.21,17.78
ORD-978932,PROD-000224,2,99.83,0.0,0.0,199.66,13.98,2.72,216.36,70.28,143.36
ORD-288748,PROD-000367,2,315.14,0.0387907527743407,24.45,630.28,121.17,19.5,746.5,275.76,451.24
ORD-460011,PROD-000621,3,158.64,0.5010648031368286,238.47,475.92,11.87,5.1,254.42,220.86,28.46
ORD-337745,PROD-000541,1,42.56,0.1234688812476785,5.25,42.56,2.61,2.72,42.64,13.28,26.64
ORD-624255,PROD-000270,1,139.58,0.1347132644196449,18.8,139.58,24.16,9.13,154.07,57.61,87.33
ORD-438887,PROD-000035,3,608.66,0.0546784170589868,99.84,1825.98,120.83,6.34,1853.31,1098.72,748.25
ORD-408722,PROD-000743,5,100.86,0.0661278780721839,33.35,504.3,61.22,27.78,559.95,251.95,280.22
ORD-517794,PROD-000675,1,563.36,0.0774853518702256,43.65,563.36,36.38,5.73,561.82,234.18,321.91
ORD-739360,PROD-000407,1,335.89,0.0438855679475456,14.74,335.89,22.48,5.93,349.56,145.1,198.53
ORD-861664,PROD-000992,2,747.72,0.1600682291175285,239.37,1495.44,87.92,2.79,1346.78,770.6,573.39
ORD-528654,PROD-000046,4,620.16,0.2829386949735504,701.87,2480.64,124.51,4.07,1907.35,1497.72,405.56
ORD-762190,PROD-000628,2,176.56,0.2063477029840714,72.87,353.12,36.43,3.73,320.41,162.1,154.58
ORD-832261,PROD-000477,1,54.74,0.2384765039301491,13.05,54.74,2.92,0.29,44.9,25.92,18.69
ORD-984466,PROD-000016,2,1061.28,0.0469396142141516,99.63,2122.56,141.61,4.02,2168.56,1193.6,970.94
ORD-924140,PROD-000046,3,620.16,0.1472524418931255,273.96,1860.48,285.57,2.34,1874.43,1123.29,748.8
ORD-249000,PROD-000174,1,62.12,0.0,0.0,62.12,4.35,20.53,87.0,29.71,36.76
ORD-434938,PROD-000937,1,174.76,0.0,0.0,174.76,12.23,14.95,201.94,90.09,96.9
ORD-791214,PROD-000354,5,256.59,0.2886620270520743,370.34,1282.95,63.88,15.09,991.58,729.25,247.24
ORD-192365,PROD-000301,1,39.1,0.0603498690993092,2.36,39.1,1.84,5.42,44.0,11.99,26.59
ORD-493866,PROD-000946,2,323.04,0.0084315217397568,5.45,646.08,128.13,9.11,777.87,386.34,382.42
ORD-772564,PROD-000064,4,514.41,0.2670152634313221,549.42,2057.64,301.64,2.29,1812.15,1067.12,742.74
ORD-863449,PROD-000819,1,149.31,0.0,0.0,149.31,10.45,2.52,162.28,49.99,109.77
ORD-233605,PROD-000632,1,52.75,0.0373674267032934,1.97,52.75,3.55,15.19,69.52,23.15,31.18
ORD-557177,PROD-001071,3,20.23,0.1580611598560197,9.59,60.69,3.58,11.72,66.4,25.38,29.3
ORD-853901,PROD-000657,2,214.02,0.0,0.0,428.04,81.33,9.79,519.16,174.58,334.79
ORD-638763,PROD-000969,1,546.38,0.1032485448434058,56.41,546.38,34.3,20.7,544.97,227.51,296.76
ORD-284424,PROD-000430,5,191.55,0.0841865108742099,80.63,957.75,61.4,14.78,953.3,344.75,593.77
ORD-196646,PROD-000221,5,119.71,0.3442163801051269,206.03,598.55,27.48,21.27,441.27,356.7,63.3
ORD-169065,PROD-000475,1,12.91,0.1814388480788147,2.34,12.91,0.74,3.31,14.62,4.26,7.05
ORD-524521,PROD-000950,1,288.45,0.1031476115180107,29.75,288.45,18.11,6.43,283.24,164.19,112.62
ORD-494728,PROD-000136,2,726.87,0.1509782230788295,219.48,1453.74,86.4,6.27,1326.93,722.94,597.72
ORD-743031,PROD-000544,3,41.53,0.0155303692422618,1.93,124.59,12.27,22.94,157.87,56.22,78.71
ORD-493914,PROD-000121,1,371.72,0.2163309075227025,80.41,371.72,20.39,2.75,314.45,208.47,103.23
ORD-853603,PROD-000523,3,56.73,0.1814716345464881,30.88,170.19,9.75,3.35,152.41,54.3,94.76
ORD-433375,PROD-000435,4,49.69,0.0028830676721395,0.57,198.76,13.87,12.02,224.08,101.84,110.22
ORD-689080,PROD-000695,4,289.08,0.1410459573967519,163.09,1156.32,188.71,12.1,1194.04,777.92,404.02
ORD-200685,PROD-000854,4,130.15,0.2304791359097546,119.99,520.6,80.12,17.42,498.15,259.6,221.13
ORD-372027,PROD-000608,2,37.46,0.1261715852974072,9.45,74.92,11.78,9.88,87.13,34.0,43.25
ORD-817584,PROD-000297,1,23.92,0.0708623426566698,1.7,23.92,1.56,6.42,30.2,8.63,15.15
ORD-323549,PROD-000517,5,13.04,0.0598122307385994,3.9,65.2,4.29,6.26,71.85,27.8,37.79
ORD-772536,PROD-000155,1,622.23,0.1437747847849773,89.46,622.23,37.29,6.2,576.26,339.64,230.42
ORD-253821,PROD-000666,2,401.03,0.152738003751484,122.51,802.06,47.57,14.63,741.75,551.0,176.12
ORD-126763,PROD-000289,1,66.11,0.1210157205059371,8.0,66.11,4.07,6.25,68.43,29.08,33.1
ORD-134013,PROD-000983,3,538.16,0.1790141292818671,289.01,1614.48,251.84,5.37,1582.68,892.26,685.05
ORD-220464,PROD-000949,3,598.27,0.1324206131806677,237.67,1794.81,109.0,14.67,1680.81,910.2,755.94
ORD-837050,PROD-000274,5,56.93,0.4887792470151603,139.13,284.65,10.19,3.71,159.42,142.55,13.16
ORD-212435,PROD-001118,2,133.21,0.2249649182386394,59.94,266.42,14.45,2.51,223.44,140.4,80.53
ORD-537103,PROD-000783,1,208.42,0.1551463820666404,32.34,208.42,12.33,0.8799999999999999,189.29,91.8,96.61
ORD-528151,PROD-000604,2,33.2,0.086386228432718,5.74,66.4,10.92,0.8500000000000001,72.43,30.88,40.7
ORD-313802,PROD-001053,1,93.95,0.0715023182285216,6.72,93.95,17.45,1.79,106.47,24.99,79.69
ORD-135435,PROD-001147,1,279.17,0.070459554548076,19.67,279.17,46.71,4.15,310.36,148.6,157.61
ORD-140237,PROD-000514,3,46.76,0.0794617682605709,11.15,140.28,23.24,2.63,155.0,61.98,90.39
ORD-101576,PROD-001108,1,29.27,0.1576540488417019,4.61,29.27,1.73,3.12,29.51,14.39,12.0
ORD-201030,PROD-000259,2,121.62,0.1672982056433096,40.69,243.24,14.18,5.8,222.53,82.08,134.65
ORD-878619,PROD-000591,3,100.0,0.3571558385593756,107.15,300.0,13.5,5.5,211.85,148.89,57.46
ORD-467524,PROD-000269,4,69.38,0.3525810717727756,97.85,277.52,17.97,6.32,203.96,134.36,63.28
ORD-347665,PROD-000016,3,1061.28,0.4734677771631487,1507.45,3183.84,335.28,5.05,2016.72,1790.4,221.27
ORD-379875,PROD-000946,1,323.04,0.2260526516687253,73.02,323.04,12.5,32.26,294.78,193.17,69.35
ORD-512736,PROD-000407,1,335.89,0.1528082115860945,51.33,335.89,19.92,15.2,319.68,145.1,159.38
ORD-431065,PROD-000241,3,141.37,0.0589239714152964,24.99,424.11,39.91,9.01,448.04,146.46,292.57
ORD-554468,PROD-000319,1,176.23,0.0338474509295023,5.96,176.23,11.92,3.81,186.0,78.56,103.63
ORD-658593,PROD-000381,4,416.72,0.3110117121102161,518.42,1666.88,149.3,6.5,1304.26,757.32,540.44
ORD-748578,PROD-000070,1,1062.55,0.1382472100570045,146.89,1062.55,183.13,3.23,1102.02,532.35,566.44
ORD-156006,PROD-000838,1,222.03,0.0079389854838992,1.76,222.03,15.42,5.99,241.68,91.49,144.2
ORD-800859,PROD-000052,1,836.29,0.0,0.0,836.29,58.54,6.05,900.88,583.0,311.83
ORD-426866,PROD-000059,3,1038.72,0.0,0.0,3116.16,623.23,0.2599999999999998,3739.65,1666.74,2072.65
ORD-276202,PROD-000911,2,265.39,0.3106490374345601,164.89,530.78,47.57,14.57,428.03,234.68,178.78
ORD-667954,PROD-000718,4,64.52,0.1316050751890463,33.96,258.08,15.69,15.36,255.17,136.28,103.53
ORD-841780,PROD-000479,2,19.78,0.0,0.0,39.56,3.96,6.4,49.92,12.1,31.42
ORD-868240,PROD-001088,2,53.24,0.2748999265835868,29.27,106.48,5.4,14.87,97.48,37.78,44.83
ORD-692361,PROD-000506,1,10.53,0.1707046441135775,1.8,10.53,1.66,5.44,15.83,4.52,5.87
ORD-746945,PROD-000180,3,89.26,0.1194385575414324,31.98,267.78,47.16,0.0,282.96,116.52,166.44
ORD-402576,PROD-000083,1,399.73,0.0,0.0,399.73,19.99,28.88,448.6,256.49,163.23
ORD-360530,PROD-000670,3,470.49,0.1751574767262886,247.23,1411.47,221.21,12.44,1397.89,592.26,793.19
ORD-523756,PROD-000689,2,50.13,0.0912757900504205,9.15,100.26,6.38,6.29,103.78,63.76,33.73
ORD-270194,PROD-000857,1,202.84,0.0191424220234333,3.88,202.84,13.93,14.92,227.81,107.97,104.92
ORD-579327,PROD-000128,1,587.72,0.0,0.0,587.72,76.4,6.57,670.69,327.5,336.62
ORD-177399,PROD-000002,1,978.26,0.0,0.0,978.26,68.48,6.17,1052.91,519.66,527.08
ORD-635985,PROD-000844,2,249.48,0.2766191648065441,138.02,498.96,25.27,14.89,401.1,234.12,152.09
ORD-587140,PROD-001134,2,177.24,0.1498644682205503,53.12,354.48,39.18,4.41,344.95,112.3,228.24
ORD-547432,PROD-000554,1,41.3,0.1786007213165334,7.38,41.3,2.37,6.17,42.46,17.35,18.94
ORD-447312,PROD-000908,1,277.37,0.1747032533589506,48.46,277.37,22.89,9.01,260.81,148.15,103.65
ORD-440293,PROD-000723,4,195.73,0.2584435775949108,202.34,782.92,116.12,5.18,701.88,298.72,397.98
ORD-191911,PROD-000927,1,164.26,0.2349537955632252,38.59,164.26,8.8,12.23,146.7,59.59,74.88
ORD-510867,PROD-000224,4,99.83,0.388925271933719,155.31,399.32,17.08,2.83,263.92,140.56,120.53
ORD-847647,PROD-001174,2,71.13,0.0430013391047711,6.12,142.26,9.53,0.77,146.44,50.84,94.83
ORD-700136,PROD-000594,1,170.56,0.1923153641060762,32.8,170.56,9.64,0.6000000000000001,148.0,52.81,94.59
ORD-338695,PROD-000114,4,168.48,0.0286945966997423,19.34,673.92,45.82,6.32,706.72,352.4,348.0
ORD-582993,PROD-000353,1,310.37,0.0,0.0,310.37,40.35,17.45,368.17,139.82,210.9
