product_id,category_code,subcategory_code,product_name,species,function_code,price_krw,rating,allergen_groups
P0044,SUPPLEMENT,TABLET_SUPPLEMENT,정제형 영양제 상품 3,dog/cat,STRESS_CALMING,40000,3.1,
P0045,SUPPLEMENT,CAPSULE_SUPPLEMENT,캡슐형 영양제 상품 1,dog/cat,GENERAL,33310,3.8,
P0046,SUPPLEMENT,CAPSULE_SUPPLEMENT,캡슐형 영양제 상품 2,dog/cat,URINARY,25644,4.6,
P0047,SUPPLEMENT,CAPSULE_SUPPLEMENT,캡슐형 영양제 상품 3,dog/cat,HYPOALLERGENIC,28393,4.8,
P0048,SUPPLEMENT,PASTE_SUPPLEMENT,페이스트형 영양제 상품 1,dog/cat,GENERAL,29856,4.3,
P0049,SUPPLEMENT,PASTE_SUPPLEMENT,페이스트형 영양제 상품 2,dog/cat,JOINT,34120,5.0,
P0050,SUPPLEMENT,PASTE_SUPPLEMENT,페이스트형 영양제 상품 3,dog/cat,HYPOALLERGENIC,25588,5.0,
P0051,SUPPLEMENT,GEL_SUPPLEMENT,젤형 영양제 상품 1,dog/cat,COGNITIVE,34187,3.4,
P0052,SUPPLEMENT,GEL_SUPPLEMENT,젤형 영양제 상품 2,dog/cat,GENERAL,26374,4.1,
P0053,SUPPLEMENT,GEL_SUPPLEMENT,젤형 영양제 상품 3,dog/cat,HAIRBALL,30378,5.0,
P0054,TREAT,JERKY_TREAT,육포형 간식 상품 1,dog,GENERAL,6132,4.3,"DAIRY,DUCK,OAT,POTATO,TURKEY"
P0055,TREAT,JERKY_TREAT,육포형 간식 상품 2,dog,GENERAL,9887,3.7,"FISH,POTATO"
P0056,TREAT,WET_TREAT,습식/파우치형 간식 상품 1,dog/cat,GENERAL,8354,5.0,"CHICKEN,SOY"
P0057,TREAT,WET_TREAT,습식/파우치형 간식 상품 2,dog/cat,GENERAL,15245,4.3,"FISH,POTATO,RICE"
P0058,TREAT,FREEZE_DRIED_TREAT,동결건조 간식 상품 1,dog/cat,DENTAL,14390,4.5,"BEEF,OAT,RICE"
P0059,TREAT,FREEZE_DRIED_TREAT,동결건조 간식 상품 2,dog/cat,GENERAL,7725,5.0,"EGG,VENISON"
P0060,TREAT,BISCUIT_TREAT,비스킷/쿠키형 간식 상품 1,dog/cat,GENERAL,5344,3.9,"FISH,TURKEY"
P0061,TREAT,BISCUIT_TREAT,비스킷/쿠키형 간식 상품 2,dog/cat,GENERAL,6486,5.0,"BEEF,RICE"
P0062,TREAT,DENTAL_TREAT,덴탈껌/구강관리 간식 상품 1,dog,GENERAL,12435,2.9,"CHICKEN,OAT,TURKEY"
P0063,TREAT,DENTAL_TREAT,덴탈껌/구강관리 간식 상품 2,dog,RESPIRATORY,10668,5.0,"BEEF,CORN,TURKEY"
P0064,TREAT,STICK_TREAT,스틱형 간식 상품 1,dog/cat,GUT,6866,4.9,"EGG,OAT,TURKEY"
P0065,TREAT,STICK_TREAT,스틱형 간식 상품 2,dog/cat,LIVER,15363,5.0,"FISH,TURKEY"
P0066,TREAT,PUREE_TREAT,퓨레/츄르형 간식 상품 1,cat,GENERAL,9447,4.2,"FISH,PORK,POTATO"
P0067,TREAT,PUREE_TREAT,퓨레/츄르형 간식 상품 2,cat,GENERAL,9244,3.4,"FISH,WHEAT"
P0068,TREAT,CHEW_TREAT,씹는 간식 상품 1,dog,GENERAL,7705,4.3,BEEF
P0069,TREAT,CHEW_TREAT,씹는 간식 상품 2,dog,GENERAL,20000,3.9,"DUCK,PORK,WHEAT"
P0070,TREAT,SAUSAGE_TREAT,소시지형 간식 상품 1,dog/cat,GENERAL,8603,4.4,"POTATO,VENISON"
P0071,TREAT,SAUSAGE_TREAT,소시지형 간식 상품 2,dog/cat,GENERAL,11488,5.0,"OAT,VENISON"
P0072,TREAT,TOPPING_TREAT,토핑용 간식 상품 1,dog/cat,SKIN_COAT,9570,4.0,"PORK,POTATO,TURKEY"
P0073,TREAT,TOPPING_TREAT,토핑용 간식 상품 2,dog/cat,HEART,8526,4.5,"LAMB,POTATO"
P0074,TREAT,TRAINING_TREAT,훈련용 소형 간식 상품 1,dog,IMMUNE,9335,3.9,"FISH,OAT,TURKEY"
P0075,TREAT,TRAINING_TREAT,훈련용 소형 간식 상품 2,dog,STRESS_CALMING,20000,5.0,"FISH,PORK"
P0076,TREAT,DRINK_SOUT_TREAT,음료/수프형 간식 상품 1,cat,DENTAL,14929,5.0,"FISH,OAT"
P0077,TREAT,DRINK_SOUT_TREAT,음료/수프형 간식 상품 2,cat,GENERAL,6962,3.9,VENISON
P0078,TREAT,CATNIP_GRASS_TREAT,캣닙/캣그라스 상품 1,cat,IMMUNE,5882,3.9,"INSECT,POTATO,WHEAT"
P0079,TREAT,CATNIP_GRASS_TREAT,캣닙/캣그라스 상품 2,cat,GENERAL,10707,4.3,"LAMB,POTATO,VENISON"
P0080,GOODS,GENERAL_GOODS,용품 상품 1,dog/cat,GENERAL,5000,3.2,
P0081,GOODS,GENERAL_GOODS,용품 상품 2,dog/cat,GENERAL,28903,5.0,
P0082,GOODS,GENERAL_GOODS,용품 상품 3,dog/cat,GENERAL,13228,4.1,
P0083,GOODS,GENERAL_GOODS,용품 상품 4,dog/cat,GENERAL,48828,3.9,
P0084,GOODS,GENERAL_GOODS,용품 상품 5,dog/cat,GENERAL,15300,2.6,
P0085,GOODS,GENERAL_GOODS,용품 상품 6,dog/cat,GENERAL,13971,3.2,
P0086,GOODS,GENERAL_GOODS,용품 상품 7,dog/cat,GENERAL,12869,3.0,
P0087,GOODS,GENERAL_GOODS,용품 상품 8,dog/cat,GENERAL,40778,2.7,
P0088,GOODS,GENERAL_GOODS,용품 상품 9,dog/cat,GENERAL,23951,4.7,
P0089,GOODS,GENERAL_GOODS,용품 상품 10,dog/cat,GENERAL,55070,5.0,
P0090,GOODS,GENERAL_GOODS,용품 상품 11,dog/cat,GENERAL,7761,4.8,
P0091,GOODS,GENERAL_GOODS,용품 상품 12,dog/cat,GENERAL,9707,3.0,
