product_id,nutrient_code,unit,value
P0023,CRUDE_FAT,%,9.0
P0023,MOISTURE,%,70.9
P0023,CRUDE_FIBER,%,1.1
P0023,ENERGY,kcal/100g,151.0
P0023,CALCIUM,%,1.25
P0023,PHOSPHORUS,%,1.18
P0023,SODIUM,%,0.32
P0023,TAURINE,mg,742.0
P0023,VITAMIN_A,IU,4653.88
P0023,VITAMIN_E,mg,25.1
P0023,ZINC,mg,27.96
P0024,CRUDE_PROTEIN,%,20.0
P0024,CRUDE_FAT,%,13.3
P0024,MOISTURE,%,71.5
P0024,CRUDE_FIBER,%,0.4
P0024,ENERGY,kcal/100g,213.0
P0024,CALCIUM,%,0.83
P0024,PHOSPHORUS,%,0.77
P0024,SODIUM,%,0.26
P0024,TAURINE,mg,1187.0
P0024,COQ10,mg,15.9
P0024,TAURINE,mg,1839.15
P0025,CRUDE_PROTEIN,%,16.8
P0025,CRUDE_FAT,%,6.7
P0025,MOISTURE,%,73.5
P0025,CRUDE_FIBER,%,0.6
P0025,ENERGY,kcal/100g,168.0
P0025,CALCIUM,%,1.73
P0025,PHOSPHORUS,%,1.14
P0025,SODIUM,%,0.48
P0025,TAURINE,mg,1273.0
P0025,L_LYSINE,mg,136.14
P0026,CRUDE_PROTEIN,%,12.9
P0026,CRUDE_FAT,%,10.1
P0026,MOISTURE,%,66.9
P0026,CRUDE_FIBER,%,0.9
P0026,ENERGY,kcal/100g,163.0
P0026,CALCIUM,%,1.78
P0026,PHOSPHORUS,%,1.03
P0026,SODIUM,%,0.22
P0026,TAURINE,mg,963.0
P0026,VITAMIN_A,IU,2254.1
P0026,VITAMIN_E,mg,54.21
P0026,ZINC,mg,22.74
P0027,CRUDE_PROTEIN,%,16.7
P0027,CRUDE_FAT,%,9.5
P0027,MOISTURE,%,70.7
P0027,CRUDE_FIBER,%,0.7
P0027,ENERGY,kcal/100g,177.0
P0027,CALCIUM,%,1.1
P0027,PHOSPHORUS,%,1.0
P0027,SODIUM,%,0.48
P0027,TAURINE,mg,1009.0
P0027,VITAMIN_A,IU,7643.57
P0027,VITAMIN_E,mg,17.42
P0027,ZINC,mg,17.71
P0028,CRUDE_PROTEIN,%,14.6
P0028,CRUDE_FAT,%,9.3
P0028,MOISTURE,%,71.3
P0028,CRUDE_FIBER,%,1.1
P0028,ENERGY,kcal/100g,145.0
P0028,CALCIUM,%,1.02
P0028,PHOSPHORUS,%,1.01
P0028,SODIUM,%,0.33
P0028,TAURINE,mg,150.0
P0028,VITAMIN_A,IU,4510.4
P0028,VITAMIN_E,mg,33.71
P0028,ZINC,mg,10.64
P0029,CRUDE_PROTEIN,%,21.3
P0029,CRUDE_FAT,%,10.6
P0029,MOISTURE,%,31.3
P0029,CRUDE_FIBER,%,1.7
P0029,ENERGY,kcal/100g,291.0
P0029,CALCIUM,%,1.54
P0029,PHOSPHORUS,%,1.22
P0029,SODIUM,%,0.57
P0029,TAURINE,mg,805.0
P0029,VITAMIN_A,IU,5121.65
P0029,VITAMIN_E,mg,49.99
P0029,ZINC,mg,12.86
P0030,CRUDE_PROTEIN,%,19.7
P0030,CRUDE_FAT,%,10.0
P0030,MOISTURE,%,26.7
P0030,CRUDE_FIBER,%,1.6
P0030,ENERGY,kcal/100g,305.0
P0030,CALCIUM,%,0.81
P0030,PHOSPHORUS,%,1.18
P0030,SODIUM,%,0.54
P0030,TAURINE,mg,621.0
P0030,CRANBERRY,mg,47.65
P0030,MAGNESIUM,%,0.09
P0031,CRUDE_PROTEIN,%,22.1
P0031,CRUDE_FAT,%,12.2
P0031,MOISTURE,%,28.9
P0031,CRUDE_FIBER,%,2.3
P0031,ENERGY,kcal/100g,261.0
P0031,CALCIUM,%,1.01
P0031,PHOSPHORUS,%,0.97
P0031,SODIUM,%,0.27
P0031,TAURINE,mg,332.0
P0031,VITAMIN_A,IU,7017.83
P0031,VITAMIN_E,mg,59.46
P0031,ZINC,mg,18.9
P0032,CRUDE_PROTEIN,%,22.5
P0032,CRUDE_FAT,%,10.6
P0032,MOISTURE,%,29.7
P0032,CRUDE_FIBER,%,1.3
P0032,ENERGY,kcal/100g,271.0
P0032,CALCIUM,%,1.71
P0032,PHOSPHORUS,%,0.63
P0032,SODIUM,%,0.29
P0032,TAURINE,mg,509.0
P0032,OMEGA3,mg,345.1
P0032,VITAMIN_E,mg,55.19
P0033,CRANBERRY,mg,63.86
P0033,MAGNESIUM,%,0.11
P0034,OMEGA3,mg,636.16
P0034,OMEGA6,mg,557.74
P0034,BIOTIN,mg,0.21
P0035,BETA_GLUCAN,mg,57.38
P0035,VITAMIN_E,mg,69.11
P0036,COQ10,mg,51.86
P0036,TAURINE,mg,1108.62
P0037,OMEGA3,mg,525.14
P0037,VITAMIN_E,mg,40.44
P0038,MILK_THISTLE,mg,38.9
P0038,SILYMARIN,mg,45.87
P0039,COQ10,mg,14.76
P0039,TAURINE,mg,809.94
P0040,BETA_GLUCAN,mg,139.84
P0040,VITAMIN_E,mg,41.37
P0041,GLUCOSAMINE,mg,209.51
P0041,CHONDROITIN,mg,294.62
P0041,MSM,mg,296.06
P0042,MILK_THISTLE,mg,131.66
P0042,SILYMARIN,mg,52.98
P0043,CRUDE_PROTEIN,%,23.77
P0044,L_THEANINE,mg,131.35
P0045,VITAMIN_A,IU,6394.48
P0045,VITAMIN_E,mg,32.0
P0045,ZINC,mg,18.83
P0046,CRANBERRY,mg,197.22
P0046,MAGNESIUM,%,0.07
P0047,CRUDE_PROTEIN,%,20.77
P0048,VITAMIN_A,IU,6664.06
P0048,VITAMIN_E,mg,34.48
P0048,ZINC,mg,29.64
P0049,GLUCOSAMINE,mg,735.05
P0049,CHONDROITIN,mg,655.58
P0049,MSM,mg,79.69
P0050,CRUDE_PROTEIN,%,25.4
P0051,OMEGA3,mg,286.35
P0051,VITAMIN_E,mg,22.92
P0052,VITAMIN_A,IU,6051.83
P0052,VITAMIN_E,mg,45.66
P0052,ZINC,mg,24.34
P0053,CRUDE_FIBER,%,8.81
P0053,PROBIOTICS,CFU,25432891.2
P0054,CRUDE_PROTEIN,%,32.9
P0054,CRUDE_FAT,%,15.1
P0054,MOISTURE,%,17.1
P0054,CRUDE_FIBER,%,3.5
P0054,ENERGY,kcal/100g,270.0
P0054,CALCIUM,%,1.65
P0054,PHOSPHORUS,%,0.81
P0054,SODIUM,%,0.44
P0054,VITAMIN_A,IU,4381.64
P0054,VITAMIN_E,mg,23.74
P0054,ZINC,mg,27.16
P0055,CRUDE_PROTEIN,%,35.0
P0055,CRUDE_FAT,%,9.4
P0055,MOISTURE,%,22.2
P0055,CRUDE_FIBER,%,1.0
P0055,ENERGY,kcal/100g,315.0
P0055,CALCIUM,%,1.8
P0055,PHOSPHORUS,%,1.09
P0055,SODIUM,%,0.44
P0055,VITAMIN_A,IU,4354.21
P0055,VITAMIN_E,mg,55.76
P0055,ZINC,mg,17.42
P0056,CRUDE_PROTEIN,%,24.1
P0056,CRUDE_FAT,%,14.5
P0056,MOISTURE,%,20.3
P0056,CRUDE_FIBER,%,2.0
P0056,ENERGY,kcal/100g,392.0
P0056,CALCIUM,%,1.55
P0056,PHOSPHORUS,%,0.98
P0056,SODIUM,%,0.31
P0056,TAURINE,mg,1356.0
P0056,VITAMIN_A,IU,3410.58
P0056,VITAMIN_E,mg,26.27
P0056,ZINC,mg,27.73
P0057,CRUDE_PROTEIN,%,21.4
P0057,CRUDE_FAT,%,7.3
P0057,MOISTURE,%,36.2
P0057,CRUDE_FIBER,%,1.5
P0057,ENERGY,kcal/100g,312.0
P0057,CALCIUM,%,1.59
P0057,PHOSPHORUS,%,1.15
P0057,SODIUM,%,0.38
P0057,TAURINE,mg,767.0
P0057,VITAMIN_A,IU,7968.21
P0057,VITAMIN_E,mg,43.73
P0057,ZINC,mg,25.37
P0058,CRUDE_PROTEIN,%,25.3
P0058,CRUDE_FAT,%,11.5
P0058,MOISTURE,%,11.1
P0058,CRUDE_FIBER,%,3.9
P0058,ENERGY,kcal/100g,221.0
P0058,CALCIUM,%,0.84
P0058,PHOSPHORUS,%,0.77
P0058,SODIUM,%,0.23
P0058,TAURINE,mg,737.0
P0058,CRUDE_FIBER,%,4.06
P0059,CRUDE_PROTEIN,%,29.0
P0059,CRUDE_FAT,%,8.1
P0059,MOISTURE,%,19.1
P0059,CRUDE_FIBER,%,1.9
P0059,ENERGY,kcal/100g,283.0
P0059,CALCIUM,%,0.8
P0059,PHOSPHORUS,%,0.68
P0059,SODIUM,%,0.55
P0059,TAURINE,mg,102.0
P0059,VITAMIN_A,IU,5049.0
P0059,VITAMIN_E,mg,34.48
P0059,ZINC,mg,13.33
P0060,CRUDE_PROTEIN,%,24.6
P0060,CRUDE_FAT,%,15.2
P0060,MOISTURE,%,16.8
P0060,CRUDE_FIBER,%,1.7
P0060,ENERGY,kcal/100g,386.0
P0060,CALCIUM,%,0.85
P0060,PHOSPHORUS,%,0.92
P0060,SODIUM,%,0.48
P0060,TAURINE,mg,311.0
P0060,VITAMIN_A,IU,2284.24
P0060,VITAMIN_E,mg,16.91
P0060,ZINC,mg,27.97
P0061,CRUDE_PROTEIN,%,19.8
P0061,CRUDE_FAT,%,13.5
P0061,MOISTURE,%,27.7
P0061,CRUDE_FIBER,%,3.5
P0061,ENERGY,kcal/100g,201.0
P0061,CALCIUM,%,1.65
P0061,PHOSPHORUS,%,1.03
P0061,SODIUM,%,0.27
P0061,TAURINE,mg,1182.0
P0061,VITAMIN_A,IU,7132.95
P0061,VITAMIN_E,mg,22.71
P0061,ZINC,mg,27.97
P0062,CRUDE_PROTEIN,%,27.0
P0062,CRUDE_FAT,%,8.2
P0062,MOISTURE,%,22.4
P0062,CRUDE_FIBER,%,1.6
P0062,ENERGY,kcal/100g,216.0
P0062,CALCIUM,%,0.83
P0062,PHOSPHORUS,%,0.84
P0062,SODIUM,%,0.21
P0062,VITAMIN_A,IU,2992.93
P0062,VITAMIN_E,mg,46.26
P0062,ZINC,mg,22.7
P0063,CRUDE_PROTEIN,%,18.5
P0063,CRUDE_FAT,%,12.6
P0063,MOISTURE,%,39.8
P0063,CRUDE_FIBER,%,0.5
P0063,ENERGY,kcal/100g,203.0
P0063,CALCIUM,%,1.79
P0063,PHOSPHORUS,%,1.01
P0063,SODIUM,%,0.25
P0063,L_LYSINE,mg,907.57
P0064,CRUDE_PROTEIN,%,20.9
P0064,CRUDE_FAT,%,15.0
P0064,MOISTURE,%,35.1
P0064,CRUDE_FIBER,%,0.6
P0064,ENERGY,kcal/100g,319.0
P0064,CALCIUM,%,1.03
P0064,PHOSPHORUS,%,1.21
P0064,SODIUM,%,0.3
P0064,TAURINE,mg,955.0
P0064,PROBIOTICS,CFU,553987299.25
P0064,PREBIOTICS,mg,228.27
P0064,FOS,mg,141.97
P0065,CRUDE_PROTEIN,%,15.2
P0065,CRUDE_FAT,%,16.9
P0065,MOISTURE,%,25.6
P0065,CRUDE_FIBER,%,1.9
P0065,ENERGY,kcal/100g,219.0
P0065,CALCIUM,%,1.69
P0065,PHOSPHORUS,%,0.88
P0065,SODIUM,%,0.47
P0065,TAURINE,mg,309.0
P0065,MILK_THISTLE,mg,193.08
P0065,SILYMARIN,mg,26.06
P0066,CRUDE_PROTEIN,%,32.6
P0066,CRUDE_FAT,%,10.7
P0066,MOISTURE,%,25.5
P0066,CRUDE_FIBER,%,3.1
P0066,ENERGY,kcal/100g,346.0
P0066,CALCIUM,%,1.58
P0066,PHOSPHORUS,%,1.0
P0066,SODIUM,%,0.24
P0066,TAURINE,mg,1366.0
P0066,VITAMIN_A,IU,7193.44
P0066,VITAMIN_E,mg,49.9
P0066,ZINC,mg,7.5
P0067,CRUDE_PROTEIN,%,29.4
P0067,CRUDE_FAT,%,18.3
P0067,MOISTURE,%,21.8
P0067,CRUDE_FIBER,%,1.6
P0067,ENERGY,kcal/100g,322.0
P0067,CALCIUM,%,1.38
P0067,PHOSPHORUS,%,0.89
P0067,SODIUM,%,0.44
P0067,TAURINE,mg,1410.0
P0067,VITAMIN_A,IU,4805.84
P0067,VITAMIN_E,mg,19.84
P0067,ZINC,mg,14.43
P0068,CRUDE_PROTEIN,%,34.1
P0068,CRUDE_FAT,%,8.7
P0068,MOISTURE,%,13.0
P0068,CRUDE_FIBER,%,3.1
P0068,ENERGY,kcal/100g,376.0
P0068,CALCIUM,%,1.08
P0068,PHOSPHORUS,%,0.74
P0068,SODIUM,%,0.27
P0068,VITAMIN_A,IU,5132.07
P0068,VITAMIN_E,mg,33.42
P0068,ZINC,mg,11.49
P0069,CRUDE_PROTEIN,%,20.9
P0069,CRUDE_FAT,%,16.5
P0069,MOISTURE,%,36.3
P0069,CRUDE_FIBER,%,3.7
P0069,ENERGY,kcal/100g,397.0
P0069,CALCIUM,%,1.78
P0069,PHOSPHORUS,%,1.27
P0069,SODIUM,%,0.23
P0069,VITAMIN_A,IU,2826.76
P0069,VITAMIN_E,mg,25.22
P0069,ZINC,mg,18.82
P0070,CRUDE_PROTEIN,%,20.1
P0070,CRUDE_FAT,%,7.4
P0070,MOISTURE,%,35.6
P0070,CRUDE_FIBER,%,2.5
P0070,ENERGY,kcal/100g,347.0
P0070,CALCIUM,%,1.1
P0070,PHOSPHORUS,%,0.86
P0070,SODIUM,%,0.36
P0070,TAURINE,mg,1164.0
P0070,VITAMIN_A,IU,6634.12
P0070,VITAMIN_E,mg,20.34
P0070,ZINC,mg,28.54
P0071,CRUDE_PROTEIN,%,18.6
P0071,CRUDE_FAT,%,11.2
P0071,MOISTURE,%,23.5
P0071,CRUDE_FIBER,%,1.4
P0071,ENERGY,kcal/100g,342.0
P0071,CALCIUM,%,1.65
P0071,PHOSPHORUS,%,1.21
P0071,SODIUM,%,0.34
P0071,TAURINE,mg,843.0
P0071,VITAMIN_A,IU,3490.44
P0071,VITAMIN_E,mg,22.24
P0071,ZINC,mg,9.03
P0072,CRUDE_PROTEIN,%,23.7
P0072,CRUDE_FAT,%,7.0
P0072,MOISTURE,%,13.8
P0072,CRUDE_FIBER,%,3.8
P0072,ENERGY,kcal/100g,296.0
P0072,CALCIUM,%,1.75
P0072,PHOSPHORUS,%,0.71
P0072,SODIUM,%,0.42
P0072,TAURINE,mg,391.0
P0072,OMEGA3,mg,302.55
P0072,OMEGA6,mg,118.03
P0072,BIOTIN,mg,0.33
P0073,CRUDE_PROTEIN,%,25.6
P0073,CRUDE_FAT,%,7.8
P0073,MOISTURE,%,39.7
P0073,CRUDE_FIBER,%,3.4
P0073,ENERGY,kcal/100g,348.0
P0073,CALCIUM,%,1.27
P0073,PHOSPHORUS,%,0.71
P0073,SODIUM,%,0.57
P0073,TAURINE,mg,578.0
P0073,COQ10,mg,7.76
P0073,TAURINE,mg,816.33
P0074,CRUDE_PROTEIN,%,27.8
P0074,CRUDE_FAT,%,5.0
P0074,MOISTURE,%,39.8
P0074,CRUDE_FIBER,%,1.5
P0074,ENERGY,kcal/100g,212.0
P0074,CALCIUM,%,1.26
P0074,PHOSPHORUS,%,0.69
P0074,SODIUM,%,0.26
P0074,BETA_GLUCAN,mg,98.52
P0074,VITAMIN_E,mg,37.5
P0075,CRUDE_PROTEIN,%,24.5
P0075,CRUDE_FAT,%,19.3
P0075,MOISTURE,%,20.3
P0075,CRUDE_FIBER,%,1.1
P0075,ENERGY,kcal/100g,336.0
P0075,CALCIUM,%,1.65
P0075,PHOSPHORUS,%,0.63
P0075,SODIUM,%,0.38
P0075,L_THEANINE,mg,134.95
P0076,CRUDE_PROTEIN,%,29.8
P0076,CRUDE_FAT,%,11.0
P0076,MOISTURE,%,26.9
P0076,CRUDE_FIBER,%,3.0
P0076,ENERGY,kcal/100g,302.0
P0076,CALCIUM,%,1.71
P0076,PHOSPHORUS,%,0.89
P0076,SODIUM,%,0.46
P0076,TAURINE,mg,579.0
P0076,CRUDE_FIBER,%,3.63
P0077,CRUDE_PROTEIN,%,28.3
P0077,CRUDE_FAT,%,5.3
P0077,MOISTURE,%,19.8
P0077,CRUDE_FIBER,%,1.2
P0077,ENERGY,kcal/100g,356.0
P0077,CALCIUM,%,1.66
P0077,PHOSPHORUS,%,0.77
P0077,SODIUM,%,0.47
P0077,TAURINE,mg,281.0
P0077,VITAMIN_A,IU,3650.92
P0077,VITAMIN_E,mg,16.93
P0077,ZINC,mg,12.09
P0078,CRUDE_PROTEIN,%,27.2
P0078,CRUDE_FAT,%,8.8
P0078,MOISTURE,%,28.8
P0078,CRUDE_FIBER,%,1.6
P0078,ENERGY,kcal/100g,395.0
P0078,CALCIUM,%,1.2
P0078,PHOSPHORUS,%,1.08
P0078,SODIUM,%,0.21
P0078,TAURINE,mg,660.0
P0078,BETA_GLUCAN,mg,132.52
P0078,VITAMIN_E,mg,52.72
P0079,CRUDE_PROTEIN,%,21.7
P0079,CRUDE_FAT,%,8.7
P0079,MOISTURE,%,37.4
P0079,CRUDE_FIBER,%,3.7
P0079,ENERGY,kcal/100g,369.0
P0079,CALCIUM,%,1.78
P0079,PHOSPHORUS,%,1.12
P0079,SODIUM,%,0.51
P0079,TAURINE,mg,1168.0
P0079,VITAMIN_A,IU,4883.65
P0079,VITAMIN_E,mg,32.82
P0079,ZINC,mg,11.01
