해당 스프린트,날짜,회의 주제,유형,과정,참석자,주요 내용,강사 피드백
Sprint 1,2026년 8월 14일,0814 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 1,2026년 8월 18일,0818 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 1,2026년 8월 19일,0819 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 1,2026년 8월 20일,0820 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 1,2026년 8월 21일,0821 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 8월 24일,0824 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 8월 25일,0825 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 8월 26일,0826 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 8월 27일,0827 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 8월 28일,0828 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 8월 31일,0831 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,ALL,,
Sprint 2,2026년 9월 1일,0901 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 9월 2일,0902 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 9월 3일,0903 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 2,2026년 9월 4일,0904 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 3,2026년 9월 7일,0907 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,ALL,,
Sprint 3,2026년 9월 8일,0908 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 3,2026년 9월 9일,0909 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 3,2026년 9월 10일,0910 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 3,2026년 9월 11일,0911 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 3,2026년 9월 14일,0914 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,ALL,,
Sprint 3,2026년 9월 15일,0915 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 3,2026년 9월 16일,0916 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
,,활동일지 템플릿,,사이버보안,,,
Sprint 1,2026년 8월 13일,0813 오전 데일리 스크럼,데일리 스크럼,사이버보안,ALL,,
Sprint 3,2026년 9월 7일,데일리 스크럼,기타,사이버보안,ALL,멘토링,
Sprint 3,2026년 9월 10일,데일리 스크럼,회의,사이버보안,ALL,,
Sprint 3,2026년 9월 11일,데일리 스크럼,데일리 스크럼,사이버보안,ALL,,
Sprint 3,2026년 9월 14일,데일리 스크럼,데일리 스크럼,사이버보안,파트장,,
Sprint 3,2026년 9월 15일,데일리 스크럼,데일리 스크럼,사이버보안,ALL,보안>>FE 요청,
Sprint 3,2026년 9월 16일,데일리 스크럼,데일리 스크럼,사이버보안,"동일, 정재, 형민","BE >>보안
https://app.notion.com/p/3dd9e3e335cc8085aa32ca6edb9495d3?pvs=21",
,,✓ 복제용,데일리 스크럼,프론트엔드,ALL,,
Sprint 1,2026년 8월 13일,"데일리 스크럼 ",데일리 스크럼,프론트엔드,ALL,,
Sprint 1,2026년 8월 14일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 1,2026년 8월 18일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 1,2026년 8월 19일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 1,2026년 8월 20일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 1,2026년 8월 21일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 8월 24일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 8월 25일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 8월 26일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 8월 27일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 8월 28일,"데일리 스크럼 ",데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 8월 31일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 9월 1일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 9월 2일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 9월 3일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 2,2026년 9월 4일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 3,2026년 9월 7일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 3,2026년 9월 8일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 3,2026년 9월 9일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 3,2026년 9월 10일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 3,2026년 9월 11일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 3,2026년 9월 14일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 3,2026년 9월 15일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,"인프라, 사이버보안팀 요청사항 처리",
Sprint 3,2026년 9월 16일,데일리 스크럼,데일리 스크럼,프론트엔드,ALL,,
Sprint 1,2026년 8월 13일,워크플로우 정리 및 리서치,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 1,2026년 8월 14일,유저 리서치 진행 및 일정 재정리,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 1,2026년 8월 18일,WBS 조율 및 리서치 과업 진행,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 1,2026년 8월 19일,인사이트 도출과 핵심 산출물,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 1,2026년 8월 20일,문제 정의 완료 및 솔루션 도출,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 1,2026년 8월 21일,"솔루션 도출 마무리, 핵심 산출물",데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 1,2026년 8월 24일,디자인 전략 및 톤앤매너 정립,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 8월 25일,IA 문서 및 유저 플로우 작성,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 8월 26일,"IA 시각화, 유저 플로우 작성, 와이어프레임 작업",데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 8월 27일,와이어프레임 지속 작업,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 8월 28일,온보딩/마이페이지 와이어프레임 작업 마무리,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 8월 31일,와이어프레임 작업,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 9월 1일,와이어프레임 마무리,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 9월 2일,와이어프레임 작업 최종 마무리,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 9월 3일,디자인 시스템 작업 착수,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 9월 4일,디자인 시스템 작업 진행,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 2,2026년 9월 7일,디자인 시스템 작업 완료,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 3,2026년 9월 8일,디자인 시스템 최종 점검,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 3,2026년 9월 9일,UI 디자인 작업 본격 진행,데일리 스크럼,프로덕트 디자인,ALL,,
Sprint 1,2026년 8월 13일,8/13,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 14일,8/14,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 21일,8/21,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 24일,8/24,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 25일,8/25,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 26일,8/26,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 27일,8/27,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 28일,8/28,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 8월 31일,8/31,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 1일,9/1,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 2일,9/2,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 3일,9/3,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 4일,9/4,데일리 스크럼,생성형 AI,ALL,,
,,API 모음,,생성형 AI,,,
Sprint 1,2026년 9월 7일,9/7,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 8일,9/8,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 9일,9/9,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 10일,9/10,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 14일,9/14,데일리 스크럼,생성형 AI,ALL,,
Sprint 1,2026년 9월 16일,9/16,데일리 스크럼,생성형 AI,ALL,,
,,활동일지 템플릿,,,,,
,,백엔드 데일리 스크럼 양식,,,,,
,,활동일지 템플릿,,,,,
Sprint 3,2026년 9월 16일,9/16 데일리 스크럼,데일리 스크럼,백엔드,,,
