기능명 (페이지),Function ID,기능 짧은 desciption,기능그룹,논의 필요,상위 항목,상태,세부 그룹,우선순위,하위 항목
재입고 알림 진입,,,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
알림 설정,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,설정,논의필요,
나의 상품 후기 진입,,,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
개인 정보 처리 방침 조회,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,서비스 안내,매우낮음(5순위),
고객센터 진입,,,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
마케팅 정보 수신 약관 조회,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,서비스 안내,매우낮음(5순위),
서비스 안내 진입,,,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
서비스 이용약관 조회,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,서비스 안내,매우낮음(5순위),
설정 진입,,,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
1:1 문의 작성,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,고객 지원,낮음(4순위),
회원 탈퇴,,회원 탈퇴 모달 표시 후 회원 탈퇴,내 정보 관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,내 정보 관리,높음(2순위),
주문 문의 작성,,문의 내역 및 문의 추가 시 문의 노션 페이지로 연결,주문관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,주문 관리,매우낮음(5순위),
장바구니 상품 삭제,,터치 시 장바구니 리스트에서 제외,장바구니,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209887659d7db782e4976401d0303a865f.csv),,장바구니,높음(2순위),
배송지 목록 조회,,배송지 관련 데이터 노출,내 정보 관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,배송지 관리,높음(2순위),
주문 배송지 설정,,터치 시 '마이페이지_배송지 변경 바텀시트' 이동,결제,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%204527659d7db7838bbfa28129e9fb4142.csv),,결제,보통(3순위),
선택된 상품 결제 진행,,터치 시 '마이페이지_결제 화면'으로 이동,장바구니,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209887659d7db782e4976401d0303a865f.csv),,장바구니,매우높음(1순위),
기본 배송지 설정,,"터치 시 이후 결제부터 기본 배송지로 설정, 노출 ",내 정보 관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,배송지 관리,보통(3순위),
결제 수단 선택,,토스페이먼츠 선택되어 있음,결제,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%204527659d7db7838bbfa28129e9fb4142.csv),,결제,매우높음(1순위),
작성 가능 리뷰 조회,,,리뷰 관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%207f97659d7db7837288048135414cb19b.csv),,리뷰 관리,보통(3순위),
배송지 추가,,배송지 관련 데이터 추가,내 정보 관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,배송지 관리,매우높음(1순위),
결제 정보 조회,,"[표시] 총 판매금액, 배송비, 총 결제금액",결제,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%204527659d7db7838bbfa28129e9fb4142.csv),,결제,매우높음(1순위),
리뷰 작성,,,리뷰 관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%207f97659d7db7837288048135414cb19b.csv),,리뷰 관리,보통(3순위),
배송지 수정,,배송지 관련 데이터 수정,내 정보 관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,배송지 관리,높음(2순위),
주문 결제,,터치 시 '토스페이먼츠 결제 화면(타사)'으로 연결,결제,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%204527659d7db7838bbfa28129e9fb4142.csv),,결제,매우높음(1순위),
배송지 삭제,,삭제 확인 팝업 확인 시 삭제,내 정보 관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,배송지 관리,낮음(4순위),
작성한 리뷰 조회,,,리뷰 관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%207f97659d7db7837288048135414cb19b.csv),,리뷰 관리,보통(3순위),
결제 완료 정보 조회,,"[표시] 주문번호, 배송지, 제품명, 예상배송일, 결제정보",결제,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%204527659d7db7838bbfa28129e9fb4142.csv),,결제,매우높음(1순위),
반려동물 프로필 이동,,터치 시 '마이페이지_(각 반려동물) 프로필 화면'으로 이동,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
작성한 리뷰 상세 조회,,,리뷰 관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%207f97659d7db7837288048135414cb19b.csv),,리뷰 관리,보통(3순위),
내 정보 관리 진입,,터치 시 ‘마이페이지_내 정보 관리 화면’ 으로 이동,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,높음(2순위),
장바구니 상품 조회,,터치 시 ‘검색_상품 상세 화면’ 혹은 ‘상품 추천_상품 추천 상세 화면’으로 이동,장바구니,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209887659d7db782e4976401d0303a865f.csv),,장바구니,높음(2순위),
,,,장바구니,,,,,,"선택된 상품 결제 진행 (%EC%84%A0%ED%83%9D%EB%90%9C%20%EC%83%81%ED%92%88%20%EA%B2%B0%EC%A0%9C%20%EC%A7%84%ED%96%89%20a557659d7db7824a8e73819a3505eeb4.csv), 장바구니 상품 삭제 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%83%81%ED%92%88%20%EC%82%AD%EC%A0%9C%202a17659d7db783539697018ad6577707.csv), 장바구니 상품 수량 변경 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%83%81%ED%92%88%20%EC%88%98%EB%9F%89%20%EB%B3%80%EA%B2%BD%209b07659d7db783d38348811a42b87ddc.csv), 장바구니 상품 개별 선택 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%83%81%ED%92%88%20%EA%B0%9C%EB%B3%84%20%EC%84%A0%ED%83%9D%20efa7659d7db7829ca829814ce61b5e19.csv), 장바구니 상품 전체 선택 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%83%81%ED%92%88%20%EC%A0%84%EC%B2%B4%20%EC%84%A0%ED%83%9D%204f57659d7db7834d869b0123df8f70d1.csv), 장바구니 상품 조회 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%83%81%ED%92%88%20%EC%A1%B0%ED%9A%8C%203387659d7db782e395b08162d255af37.csv), 장바구니 옵션 변경 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%98%B5%EC%85%98%20%EB%B3%80%EA%B2%BD%205297659d7db78383b0e181418dee2e59.csv)"
반려동물 프로필 조회,,,반려동물 프로필,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%203e27659d7db783deb0a58106a7fedb02.csv),,프로필,매우높음(1순위),
반려동물 프로필 추가,,터치 시 '마이페이지_프로필 추가 화면'으로 이동,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
장바구니 상품 전체 선택,,터치 시 장바구니에 담긴 상품 결제 금액에 반영,장바구니,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209887659d7db782e4976401d0303a865f.csv),,장바구니,높음(2순위),
상품별 반려동물 기록,,상품 별 간단한 기호성 질문,반려동물 프로필,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%203e27659d7db783deb0a58106a7fedb02.csv),,프로필,매우높음(1순위),
반려동물 프로필 조회,,"반려동물 추가 시 업로드 하는 사진, 반려동물 이름",마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
회원 정보 조회,,"개인정보, 반려동물 프로필, 배송지 관리",내 정보 관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,내 정보 관리,높음(2순위),
장바구니 옵션 변경,,,장바구니,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209887659d7db782e4976401d0303a865f.csv),,장바구니,,
장바구니 상품 개별 선택,,터치 시 개별 상품별로 결제 금액에 반영,장바구니,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209887659d7db782e4976401d0303a865f.csv),,장바구니,높음(2순위),
,,,결제,,,,,,"결제 완료 정보 조회 (%EA%B2%B0%EC%A0%9C%20%EC%99%84%EB%A3%8C%20%EC%A0%95%EB%B3%B4%20%EC%A1%B0%ED%9A%8C%2061d7659d7db782ff9d0181a4255d5875.csv), 주문 결제 (%EC%A3%BC%EB%AC%B8%20%EA%B2%B0%EC%A0%9C%202027659d7db782cfb90881236923e9cd.csv), 결제 정보 조회 (%EA%B2%B0%EC%A0%9C%20%EC%A0%95%EB%B3%B4%20%EC%A1%B0%ED%9A%8C%201767659d7db782e6aac98183bceb09b1.csv), 결제 수단 선택 (%EA%B2%B0%EC%A0%9C%20%EC%88%98%EB%8B%A8%20%EC%84%A0%ED%83%9D%20c057659d7db78200b46881490c5afae0.csv), 주문 배송지 설정 (%EC%A3%BC%EB%AC%B8%20%EB%B0%B0%EC%86%A1%EC%A7%80%20%EC%84%A4%EC%A0%95%20ea07659d7db783178e5f01172bd0e605.csv), 배송 요청사항 설정 (%EB%B0%B0%EC%86%A1%20%EC%9A%94%EC%B2%AD%EC%82%AC%ED%95%AD%20%EC%84%A4%EC%A0%95%202187659d7db783ef864681264e5eb1ea.csv)"
주문/배송 목록 조회,,,주문관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,주문 관리,높음(2순위),
장바구니 상품 수량 변경,,버튼으로 상품 수량 증감,장바구니,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209887659d7db782e4976401d0303a865f.csv),,장바구니,보통(3순위),
배송 요청사항 설정,,,결제,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%204527659d7db7838bbfa28129e9fb4142.csv),,결제,보통(3순위),
,,,내 정보 관리,,,,,,"회원 정보 조회 (%ED%9A%8C%EC%9B%90%20%EC%A0%95%EB%B3%B4%20%EC%A1%B0%ED%9A%8C%20b0f7659d7db7838cbd8d012418648bee.csv), 회원 정보 수정 (%ED%9A%8C%EC%9B%90%20%EC%A0%95%EB%B3%B4%20%EC%88%98%EC%A0%95%20fae7659d7db7839eb9c601842f3989ed.csv), 로그아웃 (%EB%A1%9C%EA%B7%B8%EC%95%84%EC%9B%83%208f07659d7db78398b50881ecbc23a2fa.csv), 회원 탈퇴 (%ED%9A%8C%EC%9B%90%20%ED%83%88%ED%87%B4%207a77659d7db782f08ed881f229b0041f.csv), 배송지 목록 조회 (%EB%B0%B0%EC%86%A1%EC%A7%80%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C%20a5d7659d7db7831eaf7f81010360fc98.csv), 기본 배송지 설정 (%EA%B8%B0%EB%B3%B8%20%EB%B0%B0%EC%86%A1%EC%A7%80%20%EC%84%A4%EC%A0%95%20fc57659d7db78302ade781058cbc1244.csv), 배송지 추가 (%EB%B0%B0%EC%86%A1%EC%A7%80%20%EC%B6%94%EA%B0%80%2060f7659d7db78362a58d81ff1afaa9bc.csv), 배송지 수정 (%EB%B0%B0%EC%86%A1%EC%A7%80%20%EC%88%98%EC%A0%95%207557659d7db782f3959581849982fb16.csv), 배송지 삭제 (%EB%B0%B0%EC%86%A1%EC%A7%80%20%EC%82%AD%EC%A0%9C%20d007659d7db78330af1d01b8cf6474d5.csv), 배송지 주소 검색 (%EB%B0%B0%EC%86%A1%EC%A7%80%20%EC%A3%BC%EC%86%8C%20%EA%B2%80%EC%83%89%20b217659d7db78285857f017ef1801d82.csv)"
주문 상세 조회,,,주문관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,주문 관리,높음(2순위),
배송지 주소 검색,,,내 정보 관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,배송지 관리,높음(2순위),
구매 확정,,확인 시 주문 상태를 '구매확정'으로 즉시 전환,주문관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,주문 관리,높음(2순위),
,,,반려동물 프로필,,,,,,"반려동물 프로필 조회 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%A1%B0%ED%9A%8C%2085a7659d7db783ccacf1812b3bc0f69c.csv), 상품별 반려동물 기록 (%EC%83%81%ED%92%88%EB%B3%84%20%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%EA%B8%B0%EB%A1%9D%205b67659d7db783eba62a818e5971b3d5.csv), 반려동물 프로필 수정 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%88%98%EC%A0%95%20a627659d7db783858e0081739baab0ca.csv), 반려동물 프로필 추가 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%B6%94%EA%B0%80%207e37659d7db782d29fb80110f841f2a0.csv)"
,,,주문관리,,,,,,"주문 문의 작성 (%EC%A3%BC%EB%AC%B8%20%EB%AC%B8%EC%9D%98%20%EC%9E%91%EC%84%B1%2034e7659d7db783938e1101c770c1f65a.csv), 구매 확정 (%EA%B5%AC%EB%A7%A4%20%ED%99%95%EC%A0%95%20f9e7659d7db782eda15b81506b3bc2b2.csv), 주문 상세 조회 (%EC%A3%BC%EB%AC%B8%20%EC%83%81%EC%84%B8%20%EC%A1%B0%ED%9A%8C%204917659d7db783f295a28131f901b40c.csv), 주문/배송 목록 조회 (%EC%A3%BC%EB%AC%B8%20%EB%B0%B0%EC%86%A1%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C%208fd7659d7db783d1980401de6ac89437.csv), 재입고 알림 (%EC%9E%AC%EC%9E%85%EA%B3%A0%20%EC%95%8C%EB%A6%BC%204667659d7db78257ba37014c2d712bb7.csv), 재입고 상품 수정하기 (%EC%9E%AC%EC%9E%85%EA%B3%A0%20%EC%83%81%ED%92%88%20%EC%88%98%EC%A0%95%ED%95%98%EA%B8%B0%2029c7659d7db782caab8101ff166a0174.csv), 주문 취소 (%EC%A3%BC%EB%AC%B8%20%EC%B7%A8%EC%86%8C%20a3c7659d7db783d4a07101a1c25ab5da.csv), 반품/교환 (%EB%B0%98%ED%92%88%20%EA%B5%90%ED%99%98%203557659d7db7838eb0c581d3f9365939.csv)"
1:1 문의 내역 조회,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,고객 지원,매우낮음(5순위),
재입고 알림,,"PUSH 알림, 재입고 여부",주문관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,재입고 알림,보통(3순위),
알림 상세 화면 이동,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,알림,낮음(4순위),
재입고 상품 수정하기,,,주문관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,재입고 알림,보통(3순위),
회원 정보 수정,,각 정보마다 수정 화면으로 이동,내 정보 관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,내 정보 관리,낮음(4순위),
알림 목록 조회,,,기타 활동/ 지원,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,알림,낮음(4순위),
로그아웃,,로그아웃 모달 표시 이후 로그아웃,내 정보 관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20fa17659d7db783288eb601bf3f3d4fe9.csv),,내 정보 관리,높음(2순위),
최근 본 상품 조회,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,나의 활동,매우낮음(5순위),
반려동물 프로필 추가,,온보딩 화면과 동일,반려동물 프로필,"PD 논의, PM 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%203e27659d7db783deb0a58106a7fedb02.csv),,프로필,낮음(4순위),
