productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3
B0000DAIPL,Three Dog Bakery Carob Woofers (11-1/2 Ounces),A21BJGUH3XB0E6,10/10,5.0,1073952000,"Well, I've never tasted them. But my dogs love them, and pretty much everything else this company sells. Its also nice to know that the ingredients are the same quality that is sold for humans to eat, and the people who started the company really care about pets. Now if I want to eat some chocolate chip cookies and my dogs are watching and begging, I have something healthy and tasty to give them instead of trying to explain how I can't share because chocolate isn't good for them. They thought I just didnt want to share.",pet supplies,dogs,treats
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,A28PKH421MS9YY,4/5,5.0,1074211200,"I have seen littermaid for several years but i thought i was just a gimmick that would not end up working well. I have tried tons of different kinds of litters and litterboxes that were supposed to make clean up easier but didnt. I thought littermaid was going to be a big dissapointment too, BUT I WAS WRONG!!!! I got this for Christmas and i absolutely love it. My littermaid has been working great. No mechanical problems or litter sticking to the bottom as i have read in other reviews. If you want your life to be easier, GET ONE OF THESE!!!",pet supplies,cats,litter housebreaking
B0006N3IK0,Littermaid LMR300 Receptacles,unknown,1/2,1.0,1079740800,We have had our Littermaid for 2 years. Last Fall with a new batch of recepticles we started having odor problems - we discovered the lid did not always seat properly. Just received a new batch 3/15/04. These are even thinner than the last batch and the lids are not fitting the holder let alone seating properly in the recepticle. Stay Away!!,pet supplies,dogs,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,unknown,1/2,1.0,1082332800,"I spent two months trying to get it right. Which brand of ""recommended"" litter won't stick to the rake? How much is just enough litter? (use too much and the rake can't return to its starting position and will keep repeating its cycle) How often should I add another cup of litter? My 2 cats went in the same location in the pan, so the receptacle overflowed after one day. Also, the rake would pull the clump and litter away and then they would urinate on a pan without litter! Not a good smell! This did not liberate me from cleaning the box, I was dealing with litter box issues twice as often!(...) PS",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,unknown,1/4,1.0,1086220800,"I bought this thinking it would help with both cats. Well, I plugged it in and the only way it works is if I turn it off and on. Then it seems to get off track and I have to move it back in line.I wouldn't recommend this for any cat lover.",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,A2K3CE30UGP29W,6/8,2.0,1086652800,"Forget the LitterMaid...save yourself the hassle and spend the extra money to get a Litter-Robot. One of the happiest days of my life was when I was able to get rid of the LitterMaid and use regular trash bags to line the collector of the Litter-Robot. They're priced a bit higher, but definitely worth the extra money.",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,unknown,7/9,1.0,1088553600,"I was so excited to get this product, but after a couple weeks use, I started having the same problems as other reviewers. The clumps would stick to the rake and the bottom of the pan, and would jam it so the rake would get too heavy and couldn't lift it up high enough to dump it. I have two cats, and both of my cats have a tendency to use the same corner everytime, so that the waste receptacle was always full on one side and empty on the other, unless I constantly got in and redistributed. I would have to redistribute the clumps for the rake to work as well. Otherwise it was too heavy on one side and would get stuck. Then it tries a few more times to scoop the clumps up, but it is so noisy that it wakes you up with all its struggles in the middle of the night.I have had for about 5 months now, and this morning at 4am, it broke. The whole arm with the rake and the motor broke clean off, and I can see no way to repair it. However, after it broke, the motor continued to run and run until I got up and turned it off. I am quite disappointed, and do not plan to buy a second one and try again. I am surprised after reading all of the bad reviews that LitterMaid has not improved their product. I am also surprised they are even still in business. As soon as I can save some money, I am purchasing the Litter Robot.",pet supplies,cats,litter housebreaking
B00005OU62,"LitterMaid LM700 Self-Cleaning Automatic Litter Box, Sage and Cream",A2DSYW899UCAJ1,0/0,5.0,1089244800,I have had my litter maid cat box for over two years now.I have two cats and my one cat still hisses at the box once in a while but he has never stopped using it(he's a big chicken about everything).My sister is getting married and she and her fiance asked for a littermaid as their wedding gift.I am getting them the best model available.It is money well spent.If my model were to break tomorrow I would buy another in a heart beat!Dump the containers often and don't use too much litter and your life will be breeze(a fresh smelling one)!,pet supplies,cats,litter housebreaking
B0006N3IK0,Littermaid LMR300 Receptacles,unknown,6/6,1.0,1089504000,"It's a good concept but the tray is poorly designed and does not fit into the automatic litter box easily. It is also difficult to remove the waste recptacle once it is full. Because the lid does not securly fasten to the receptacle, litter tends to fly all over the place as you attempt to remove it. Yes it's nice not to have to scoop the box every night but it certainly can become a messy ordeal once the receptacle needs to be changed. This product is also very over priced. It's just plastic.",pet supplies,dogs,litter housebreaking
B0000U4MEK,"AeroBed Aero Paws Inflatable Dog Bed, Small",unknown,14/15,1.0,1089849600,"Why would Aero Beds, a reputable company that makes high-quality products, market an expensive dog bed with no opportunity to purchase a replacement cover for the bed??? What a waste of the consumers' money and our natural resources. While we are washing and drying the cover, the bed is unusable. When the cover wears out or is destroyed, we have to throw out the plastic, inflatable bed and the electric pump. We've tried to contact Aero about this problem, but can't reach anyone but Customer Service, which states categorically that replacement covers are not available. Too bad! Our dogs think the bed is great.",pet supplies,dogs,beds furniture
B0001RVNJY,Merrick The Sarge Meaty Beef Dog Bone,A296F69PCO7WT6,2/2,4.0,1090195200,"I've bought a couple of these for my Airedale puppy who constantly wants to chew. These things are amazing in that they have bone, tendon, meat, and knuckles still attached. She dives in and tears it apart - she would work on it non-stop if I didn't periodically take it away from her. The meat and tendons are harmless enough - obviously they have fat and protein so they have to be tied into diet considerations, and the bone appears to hold onto the flavor long after it's stripped (she still licks and gnaws on a bone that's a few weeks bare). The knuckles, once they get torn off, should probably be thrown away after a few minutes because they are small enough to be swallowed and/or choked on. The only downside to this product is when she comes up to me and the whiskers around her mouth are a little discolored and she smells like roasted meat. But, well worth it if you want to give your dog a treat that they can't get enough of.",pet supplies,dogs,food
B0001RT5OY,Cat Dental Care Kit,A1Z54EM24Y40LL,4/4,5.0,1091059200,"We had to get this toothbrush kit for our cat who has a bad gene pool regarding his teeth. It works just great and the cat doesn't really seem to mind having his teeth brushed at all. After paying $300 to have them cleaned, this is definitely a good investment. If your cat has bad teeth, or even if he doesn't, this is just a good habit to start in your cat's hygiene. It definitely saves on the health bills later!",pet supplies,cats,health supplies
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,A2HP4F7A2FKL6G,14/15,4.0,1091836800,"I bought the largest LitterMaid off of Ebay in Jan 2003 from a Seller called KittenKaboodle. It took a few trials to find a litter that worked well but I settled on Scoop Away. Yes, as some reviewers have mentioned, sometimes it does stick to the bottom and you will have to use the scooper to scrape it up or clean the rakes sometimes. Then, I just turn it on and off and it will rake everything up. It only takes me a few seconds to check for any stuck spots or even out the litter, turn it on and off to make it rake and then add a little new litter to the top (so the cats think it's nice and clean). :-) It's not completely ""no work"" but it is a lot less work than a ""manual"" litterbox and stays smelling cleaner than manual boxes. I do use larger plastic grocery bags in the receptacle. It's a lot cheaper than throwing away receptacles every 3-4 days and it's alot easier to clean. Believe me, I do not like trying to pry those receptacles out when it is completely full. You have to stick your fingers inside to grab onto it (YUCK!) and it's heavy and hard to get out sometimes dumping litter and stuff all over the place (double YUCK).The Seller on Ebay was selling the one I bought with a ""super charged"" motor (which is in the electrical cord). It worked pretty good for almost a year. Apparently, unlike the ""normal motor"", the stronger motor kept it from resetting sometimes when it would hit clumps that were too big for it. It would attempt to plow right thru which sounds like a good thing, but it wasn't. Apparently the gears and/or sprokets which move the rake along are made of plastic and within a year they were stripped. It started out making a spinning sound once in awhile but would eventually go ahead and rake. One day I came home to a god awful sound. I found the rake stuck right in the middle of the box, gears just spinning and making a heck of a racket. This was enough to scare away ALL 4 cats from the ONLY litterbox. Needless to say we had some accidents. 3 of my cats ""recovered"" and would go back to the disconnected box, but my 20 year old cat was traumatized and refused to use it. So I had to set up the manual box. I'm STILL working with her trying to get her to stop going elsewhere because of this.I took the Littermaid to a repair shop and they knew immediately that the gears were stripped because they'd seen it before. They said they couldn't repair it because they couldn't get parts.I contacted the Ebay Seller who said it was still under warranty. I had to pay shipping to and from the Seller though which was not cheap. The 2nd supercharged Littermaid started doing the same thing after less than 6 months and the Seller says this one is not under warranty. Apparently, the warranty does not extend to the replacement that they sent me which I think is a rip-off considering how expensive these things are.While the 1st Littermaid was being repaired, I went ahead and bought another ""regular"" (not supercharged) Littermaid from Petsmart. I've had it 8 months and had no skipping problems so far. I think the ""supercharged"" motor caused all my problems, but KittenKaboodle refuses to acknowledge this and refused to warranty the 2nd box that they sent me.So, overall it's great when it works, but it could use a few improvements. The bottom of the pan needs to be made of something more ""non-stick"" so the rake can get thru some of the larger wet spots and/or the gears need to be made of something stronger to be able to take a stronger motor that can get thru the stuck on clumps (and not strip the gears). Also I would like to see a slightly larger receptacle on the larger models. They are made for a multi cat household but with only one litterbox it fills up pretty fast. With 2 litterboxes it's not too bad though. I would also like to see some sort of hood like other auto litterboxes that I've seen. That tent seems like a nuisance (it looks like it would block the on/off switch and collect litter in the box.)",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,A939HOLRWUDHB,10/10,5.0,1094256000,"I have used this product for a month and LOVE it! Time is of the essence in my household so I don't worry about cleaning litter every day, washing litter pans and all the mess that goes with it. This product does everything for you except put the container in the trash. My two cats are happy, they have a clean space everytime they need to go, I'm happy - I don't have to clean up after them daily and put up with the smells. When the plastic container is 3/4 full, you just snap the top on, lift it out and put it in the garbage. Nice neat package. To clean the pan you just flick two clasps on the side, it drops down, you dump the remaining litter, give it a swish with disinfectant, dry, reattach and fill with fresh litter. I LOVE this product and having cats is a lot more fun now! The machine also seems to run very well. Some people complain about the noise (which is not very loud) but I think it's a beautiful sound!!",pet supplies,cats,litter housebreaking
B00074L4IQ,Premier Gentle Leader Head Dog Collar,A2F9TFLBF8VTCG,4/5,5.0,1098316800,"I used to walk and train large dogs and standardly used the Gentle Leader. The Gentle Leader is a must-have for owners who want to humanely train their dog to walk on a leash and follow commands without being pulled by the dog. The Gentle Leader goes over the dog's snout and clasps at the back of the neck. Your regular leash attaches to a ring that hangs below the chin (it is part of the Gentle Leader). Any time the dog pulls on the leash, his/her head will turn instead, which prevents him/her from pulling you. The dog doesn't get choked like pinch collars and collars with spikes do.All puppy and dog owners should use the Gentle Leader to train their pets to walk on a leash and follow commands. It gives you more control over the dog, which is safer for both of you, and makes training your dog to walk on a leash easier.",pet supplies,dogs,collars
B000IYSAIW,"Bergan Turbo Scratcher Cat Toy, Colors May Vary",A3TQW5KBBPZHNC,6/6,5.0,1098662400,"My cat LOVES this thing. My kitty occasionally likes to show me that she is mad by scratching the carpet - but no more with this product. This is the only scratching post-like item that she's ever become attached to.She loves pushing the ball around the circle and the pads in the middle only need to be replaced once in a blue moon.I also like that the dog can't eat the ball - it is stuck in there.If you own a cat, get this product!",pet supplies,cats,beds furniture
B0002AR15U,"KONG Classic Kong Dog Toy, Red",AJJPV9346NFX5,31/32,5.0,1099872000,"My Boston Terrier LOVES this toy. It is fun to use as a fetch toy and has an unpredictable bounce. My dog will stand on the couch, throw the kong himself, and runs after it when I am too busy to throw it for him. For a special treat, I put cheerios or dog food in the toy with a little peanut butter and he is occupied for a good 30 minutes trying to get every piece out. When he is in a chewing mood he will gnaw at this thing for a long time. He has never tried to chew on any furniture because he loves this toy so much. We have had this toy for over a year, and it does have some little pieces missing. The manufacturer says you should take the toy away in that case- but I don't think it is necessary. Small pieces will come right out the other end with no trouble!Excellent toy!",pet supplies,dogs,toys
B0001A9TE2,Contech CatStop Ultrasonic Outdoor Cat Deterrent,A3TUKPTK3629UW,8/18,1.0,1101686400,"I am bummed I threw away the packaging so now I can't return this. Stray cats are leaving ""presents"" right in front of this darn thing--just worthless. If you can find the Weitech brand of ultra sonic deterent--that works better.",pet supplies,cats,educational repellents
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,A1JKMEUYLCQ5Q1,4/5,4.0,1102809600,"We've used this litterbox for more than 3 years now. We have 2 cats that are quite competetive in their box activities. I agree with many of the reviews...the litter does clump at times and then the rake is unable to complete its sweep of the pan. We currently use Fresh Step (we've tried them all). I hose the litter pan and rake down every month or so and when its dry, I spray it with 2 coats of SILICONE SPRAY to decrease muddy litter patches. !!Spray anything that touches the litter!!I hate cleaning the litter box, but partial scooping every 1-2 days is better than daily changes, any day of the week. Enjoy! P.S. Have you seen the power booster cable advertised to give the rake a li'l ooomph?",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,AXISMF3UC9FQ2,2/5,1.0,1103241600,I did not like my littermaid at all - I ended up throwing mine in the grabage because I was so disgusted with it. It was actually more work for me to keep this clean then to keep a regular litter box clean. I also found that the motor on this was not strong enough and kept getting stuck - which basically defeats the whole purpose.Think twice before you buy.,pet supplies,cats,litter housebreaking
B000634EZS,"Feline Pine Original Cat Litter, 7-Pound Bags",A3U4GWFXO18FCZ,23/24,4.0,1103328000,"I had seen this cat litter at a kiosk at the Pet Expo in Del Mar, CA and had noticed how wonderful it smells. The litter is composed of smooth, compressed and extruded pine sawdust pellets, shaped like miniature broken dowel rods. The sawdust is a by-product of the lumber industry, which must be convenient for the Florida company that produces Feline Pine, because pine trees grow like weeds in the South.I tried a bag to replace the ordinary silica clay cat litter we had been using for our little cat. It is not quite as absorbent or as fast-drying as clay litter; however, there is far, far less tracking and the sharp odor of ammonia is much less than that with the clay litter. Any ""dust"" that the pine pellets might have is not at all noticeable, and my little cat adjusted to using it without a problem.As the pellets absorb moisture, they swell and disintegrate into fine, soft sawdust. I suspect my little cat prefers the smooth texture of the pellets and the softness of the sawdust to the old small, hard, sharp clay gravel that got stuck in her paws. The sawdust does not dry as quickly as clay litter, even with daily ""stirring"", but the woodsy, evergreen fragrance of pine makes scooping much less of a chore.The only drawback to this litter is that the pellets are a bigger than clay litter gravel, requiring a wide-slot scooping tool so you don't dump a clump of pellets into the toilet when you scoop solid waste. The bag is attractive and resealable plastic, but I think paper packaging with a clear window to see the product would entice cat owners to switch. The packaging also says ""CHEMICAL FREE..."" which is false; our planet is composed of chemicals. H2O (water) is a chemical. It should read ""HAZARDOUS CHEMICAL FREE"" or ""BIOTOXIN FREE"".Anyway, I'll be using the old clay litter only to clean up the oil stains in my carport. Now that I've tried a premium litter, I'll experiment with the wheat and corn types to find which one my little cat likes best.",pet supplies,cats,litter housebreaking
B0002DK2DU,"Omega Paw Self-Cleaning Litter Box, Green and Beige",A1RI1R5A82V25B,14/14,5.0,1106438400,"I used the Litter Maid self cleaning box for a year until the motor burned out. Even before then, I had to clean out the rake once a day and pry up clumps that had stuck to the bottom of the litter box. When the motor died I took a chance on the Omega Paw, or as I call it, the Roly Poly Litter Box. In hindsight, I wish I had gotten the larger size, but the regular works just fine. I was concerned that, in spite of the outward appearance, the actual litter area is about the size of a shoebox. However, my two cats adjusted to it in less than a day. No more rakes to clean. A smart tap on the base after you roll it, and any clumps that are stuck drop right off. No wasted litter, no litter kicked out of the box, no scoops to mess with. I took the advice of a previous review and reinforced the clamps with binder clips. This is WELL WORTH the price!!!I should add, when my mother bought one she couldn't get it to work right. Every time she rolled it, half the litter was dumped in the receptacle. It turned out she was rolling it too fast, and too far. all it takes is a gentle roll just past the perpendicular. I've had this for many months now and still can't say enough good things about it. Greatest invention in the world!",pet supplies,cats,litter housebreaking
B00005MF9T,LitterMaid LM500 Automated Litter Box,A2G6PVWWRHRIBC,5/8,1.0,1106524800,I got this for my sister for christmas and with in 3 days the product stoped working. I was very upset because the animal using it was a 12 week old kitten with very little poop. I was out raged and immediatly returned the product and i still have not recieve my refund.,pet supplies,cats,litter housebreaking
B0000U4MEK,"AeroBed Aero Paws Inflatable Dog Bed, Small",A31DN7OCVR9OGA,0/0,1.0,1108512000,"My dog loves the bed. But after only two months of use the center seam has come loose and the bed now has a big round bubble in the center. It is unusable. I haven't gotten a response from Amazon as to how to receive a refund or better yet how to have it repaired.Great idea and design, very poorly manufactured. Avoid this one.",pet supplies,dogs,beds furniture
B000084F2Q,Aspen pet Cool Flow Pet Fountain,A3SNM1YQ54QX7H,5/6,2.0,1109462400,"Pet fountains are a great way to keep my cat from trying to drink out of the faucets. I bought the Fresh Flow a few years ago and thought it was great, but the plastic it is made of is not the best quality and the filter clogs up constantly. I finally threw the Fresh Flow out today after several successful months with the Drinkwell Pet Fountain. The Drinkwell Pet Fountain is definitely a better quality product and hasn't clogged up once! The Drinkwell Pet Fountain also holds more water (even without the extra resevior) than the Petmate Fresh Flow. If I could go back in time, I would have paid the extra $10 for the Drinkwell instead of paying for both in the long run.",pet supplies,cats,feeding watering supplies
B0009EXMFM,"Petmate 22501 LitterLocker Plus with Microban, White/Planet Blue",A2GYWLAM16CK2H,2/2,5.0,1110153600,"I have 2 cats and the LitterLocker changed my way of emptying the litter. Not only it is very practical because I have it right close to the litter boxm, but it keeps the odor away! This is a really nice and convenient product. I will never go back to the grocery bags!",pet supplies,cats,litter housebreaking
B000HHM5QS,"Comfort Zone with Feliway for Cats Diffuser Refill, 48 Milliliters",A1QXPDCEU0ZUE,35/35,5.0,1110585600,"my cat has had problems for almost a year now, and the vet was at the end of her recommendations other than an expensive trip to a university for a complete workup. in desperation, i tried feliway (i was pretty skeptical). within hours, i noticed that he had stopped pacing the house, and now (two weeks later) he has returned to very much like his old self. he's laying in the bed with me and my husband again, and is content to lay around the house, as any normal cat should do, instead of pacing back and forth from litterbox to litterbox.additionally, chase has addison's disease, and the calming effect has reduced his need for long-term steroids. i've been able to wean him off of them completely over the past two weeks. so now here i am, shopping for a refill! i paid $50 in the pet store for a plug-in and one bottle, and they sold the refills for $20, just to give you an idea of what this stuff costs in the ""real world."" i think i'll stick to buying it online. :)good luck with your kitties!",pet supplies,cats,health supplies
B000084F04,"Swheat Scoop Natural Wheat Cat Litter Bag, 40-Pound",A2Y5R9XDC5XSO3,11/13,2.0,1114214400,"Pros:* Very, very cheap* May be healthier than clay-based* Not a bad odorCons:* Clumps are VERY difficult to remove from the sides and bottom of box* I found white dust everywhere within 5 feet of the box, including on top of the refrigerator, and on pots and pans above the refrigeratorI started using this to get away from the possibly harmful clay dust. I was pleased with how cheap it is. That helped me overlook the fact that it was a workout to get the clumps out. But after a year of use, I could no longer overlook the extremely fine white dust that was accumulating on my peanut butter jars on top of the refrigerator. I am now using World's Best, which is more expensive, but worrth it. Buy it from Amazon or PetfoodDirect.",pet supplies,cats,litter housebreaking
B000084F04,"Swheat Scoop Natural Wheat Cat Litter Bag, 40-Pound",AFI7EKHTCGAGI,7/10,2.0,1114300800,"Loved the name, loved the concept. I tried this for several months, but I finally switched to Nature's Miracle.Here's why I switched:1) Hardened clumps impossible to get out of box-even used screwdrived as chisel (old-fashioned wheat paste is glue for a reason-it works)2) Strange fermenting dough smell if box not thoroughly cleaned daily3) Large Dough clumps clog toilet when flushed even if waiting until softened.4) IF not flushed, still fairly heavy to take out.5) This product appears identical to the wheat germ in my kitchen-my cats would eat it on occasion when it was fresh. I decided that I didn't feel comfortable with the idea that my cats were possibly urinating into food-grade grains when there are starving people all over the world",pet supplies,cats,litter housebreaking
B00062F6FG,"Innotek Digital Advanced Trainer, 300 Yards",AZN78IYQSMMRC,34/34,4.0,1116460800,"Bought this collar 2.5 years ago for an 8 month old large dog (grew to be 97 pounds). It has worked great and held up until now despite heavy use, repeated swims, mud and snow. Collar unit is rechargable and holds it for up to three days if not activated much. Hand held unit uses two 28A batteries that lasted a long time when the unit was new. They didn't last as long as the unit aged but we beat the hell out of it. The hand held finally gave it up today and I'm buying a second one. My dog has very thick neck fur so I had to install the longer electrodes on the collar and put in on tight to make connection with skin. I didn't have to resort to shaving his neck as you do with some furry breeds. Tip",pet supplies,dogs,training behavior aids
B00006JHRE,Lentek 6-Day Automatic Pet Dish,A3PQNKH8G4239D,17/17,4.0,1116720000,"I have been using this feeder for the past 6 months and it works very well. I have a 23 year old cat who likes to be fed small amounts, several times a day. The 6 hr. cycle is perfect. The first battery drained fairly soon, but I've had others last 2 months with daily use. I've been trying to find spare ice packs (so that I can reload and go without waiting to refreeze the packs). Lentek didn't respond to my e-mails so I just ordered a 2nd feeder. I've had no problem with the cat trying to force the lid even when her favorite flavor is in the next section. For a 30 hr. feeding cycle, I freeze the last 2 meals so that they thaw just in time. She's a very happy cat.",pet supplies,cats,feeding watering supplies
