기능명 (페이지),Function ID,기능 짧은 desciption,기능그룹,상위 항목,상태,세부 그룹,우선순위/논의 사항,하위 항목,확인필요
,,,메인화면,,,,매우높음(1순위),"검색 화면 진입 (%EA%B2%80%EC%83%89%20%ED%99%94%EB%A9%B4%20%EC%A7%84%EC%9E%85%20e0b7659d7db78318941001376e607a90.csv), 장바구니 화면 진입 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%ED%99%94%EB%A9%B4%20%EC%A7%84%EC%9E%85%203c17659d7db78327947e81bba859e848.csv), 상품 카테고리 필터 탭 (%EC%83%81%ED%92%88%20%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%20%ED%95%84%ED%84%B0%20%ED%83%AD%20f807659d7db782c1aa0b81cac3579b40.csv), 상품 목록 조회 (카테고리별) (%EC%83%81%ED%92%88%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C%20(%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EB%B3%84)%20c497659d7db783f782b381b84f2ff441.csv), 상품 상세 진입 (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%EC%A7%84%EC%9E%85%205867659d7db782b5832b81e2d56d3845.csv), 배너 조회 (%EB%B0%B0%EB%84%88%20%EC%A1%B0%ED%9A%8C%20c987659d7db7820d8eaa81606ccd63df.csv), 배너 상세 진입 (%EB%B0%B0%EB%84%88%20%EC%83%81%EC%84%B8%20%EC%A7%84%EC%9E%85%201a97659d7db783d19bf981a9a487a1f8.csv), 반려동물 프로필 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%207cc7659d7db782f38e5a81757514da09.csv), 반려동물 프로필 전환 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%A0%84%ED%99%98%2094d7659d7db7828f9b4e81e23b3c8e40.csv), 반려동물 프로필 추가 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%B6%94%EA%B0%80%2070d7659d7db783edb12e81a57e8fce4f.csv), 맞춤 상품 추천 (%EB%A7%9E%EC%B6%A4%20%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%202dd7659d7db783da9ea101f7d41f2b46.csv), 추천 상품 찜 등록/해제 (%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EC%B0%9C%20%EB%93%B1%EB%A1%9D%20%ED%95%B4%EC%A0%9C%207577659d7db7825495d5010293344447.csv), 상품 추천 화면 진입 (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%99%94%EB%A9%B4%20%EC%A7%84%EC%9E%85%209257659d7db782319d7a013c6cff1f88.csv), 최근 구매 상품 상태 체크 (%EC%B5%9C%EA%B7%BC%20%EA%B5%AC%EB%A7%A4%20%EC%83%81%ED%92%88%20%EC%83%81%ED%83%9C%20%EC%B2%B4%ED%81%AC%20dfa7659d7db7830d827001165e36b3e3.csv), 상태체크-바텀시트 (%EC%83%81%ED%83%9C%EC%B2%B4%ED%81%AC-%EB%B0%94%ED%85%80%EC%8B%9C%ED%8A%B8%2068c7659d7db78329ba0d81c229b9cbe7.csv), 타임딜 상품 조회 (%ED%83%80%EC%9E%84%EB%94%9C%20%EC%83%81%ED%92%88%20%EC%A1%B0%ED%9A%8C%202077659d7db7829b93be81fb67f2323b.csv), 타임딜 상세 진입 (%ED%83%80%EC%9E%84%EB%94%9C%20%EC%83%81%EC%84%B8%20%EC%A7%84%EC%9E%85%205b37659d7db78319911781d6e0f7ea71.csv)",
리뷰 추천,,"리뷰의 도움이 돼요/추천 버튼 선택 시 사용자 반응을 저장하고 좋아요 수 갱신, 이후 ‘추천순’ 정렬에 반영",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 상세,낮음(4순위),,
상태체크-바텀시트,,바텀 시트 영역,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,최근 구매 상품,높음(2순위),,
상품 기본 정보 조회 (상단),,"상품 상세 상단 대표 이미지, 상품명, 가격(판매가), 할인 정보(할인율), 별점, 리뷰 수 주요 정보 제공",상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,상품 기본 정보,매우높음(1순위),,
검색 화면 진입,,메인 상단 검색 영역 선택 시 검색 화면으로 이동,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,검색 영역,높음(2순위),,
추천 상품 비교 추가,,,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,상품 비교,높음(2순위),,
맞춤 상품 추천,,현재 선택된 반려동물 프로필 기준 추천 상품 제공,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,상품 추천,매우높음(1순위),,
최근 구매 상품 상태 체크,,최근 구매 상품 영역,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,최근 구매 상품,높음(2순위),,
타임딜 오픈 예정 Tab,,,타임딜,메인 페이지 내 타임딜 섹션 → 타임딜 화면 (%EB%A9%94%EC%9D%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20%EB%82%B4%20%ED%83%80%EC%9E%84%EB%94%9C%20%EC%84%B9%EC%85%98%20%E2%86%92%20%ED%83%80%EC%9E%84%EB%94%9C%20%ED%99%94%EB%A9%B4%206937659d7db782a6bb1e01c6c57adeb6.csv),,오픈 예정,낮음(4순위),,
추천 상품 리뷰 진입,,상품 상세 내 ‘리뷰 조회’ 와 동일,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 상품 상세,높음(2순위),,
리뷰 신고,,"신고 버튼 선택 시 리뷰 신고 화면으로 이동, 사유 선택하고 신고할 수 있도록 조치",리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,리뷰 상세,매우낮음(5순위),,
타임딜 상품 조회,,진행 중 또는 예정된 상품 목록 제공 (’타임딜’ 부분 참고),메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,타임딜 섹션,매우높음(1순위),,
"장바구니, 바로구매, 좋아요 버튼",,고정 CTA,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,고정 CTA,매우높음(1순위),,
장바구니 화면 진입,,장바구니 아이콘 선택 시 장바구니 화면으로 이동,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,장바구니,매우높음(1순위),,
반려동물 프로필,,현재 상품 분석 기준이 되는 선택된 반려동물 프로필,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,프로필,높음(2순위),,
경로/상품 특징에 따른 추가 정보,,추천/타임딜 등 상세 진입 경로에 따라 추가 정보 조건부 제공,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,추가 정보,보통(3순위),,
"상품 추천 페이지 ",,페이지 자체는 메인화면 → 카테고리별 화면과 UI 거의 동일,상품 추천,,,,매우높음(1순위),"맞춤 추천 상품 조회 (%EB%A7%9E%EC%B6%A4%20%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EC%A1%B0%ED%9A%8C%201cc7659d7db7830e8229013cdaf2f5bf.csv), 추천 기준 조회 (%EC%B6%94%EC%B2%9C%20%EA%B8%B0%EC%A4%80%20%EC%A1%B0%ED%9A%8C%20c797659d7db7838f90ed810e68e434b5.csv), 카테고리별 추천 상품 조회 (%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EB%B3%84%20%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EC%A1%B0%ED%9A%8C%203787659d7db782afb4a8810fb54c694f.csv), 추천 상품 정보 조회 (%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EC%A0%95%EB%B3%B4%20%EC%A1%B0%ED%9A%8C%20b707659d7db7836b8275813d39af520a.csv), 상품 추천 근거 조회 (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%EA%B7%BC%EA%B1%B0%20%EC%A1%B0%ED%9A%8C%20c4f7659d7db7838387a701707f3d9292.csv), 추천 상품 상세 진입 (%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%EC%A7%84%EC%9E%85%20da57659d7db7820fbb2401cc0d183cd9.csv), 추천 상품 비교 추가 (%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20%EC%B6%94%EA%B0%80%201397659d7db7827e899001e2e60db08a.csv), 추천 상품 리뷰 진입 (%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EB%A6%AC%EB%B7%B0%20%EC%A7%84%EC%9E%85%2046d7659d7db78355817e0102174ad94e.csv), 재입고 알림 신청 (%EC%9E%AC%EC%9E%85%EA%B3%A0%20%EC%95%8C%EB%A6%BC%20%EC%8B%A0%EC%B2%AD%2010c7659d7db782d4afdf81056f0c67e5.csv), 추천 상품 뷰 정렬 (%EC%B6%94%EC%B2%9C%20%EC%83%81%ED%92%88%20%EB%B7%B0%20%EC%A0%95%EB%A0%AC%201587659d7db782eda56081495fb410af.csv)",
소셜 로그인 | 회원가입,FUNC-001-02,"구글, 카카오를 통한 소셜 로그인/회원가입",온보딩,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2022e7659d7db783c89e2801344978190e.csv),,로그인,매우높음(1순위),,
재입고 알림 신청,,상품 상세 내 ‘재입고 알림 신청’ 과 동일,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 상품 상세,낮음(4순위),,
타임딜 상세 진입,,타임딜 상품 선택 시 해당 상품 상세 화면으로 이동 (’타임딜’ 부분 참고),메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,타임딜 섹션,매우높음(1순위),,
리뷰 평균 별점,,,리뷰,리뷰 탭 | 리뷰 페이지 (%EB%A6%AC%EB%B7%B0%20%ED%83%AD%20%EB%A6%AC%EB%B7%B0%20%ED%8E%98%EC%9D%B4%EC%A7%80%208ba7659d7db7838da27481497c72c3db.csv),,평균 별점,,,
검색 페이지,FUNC-003,,검색,,,,높음(2순위),"기본 검색 (%EA%B8%B0%EB%B3%B8%20%EA%B2%80%EC%83%89%200c97659d7db7831ead21810193a01db2.csv), 최근 검색어 키워드 (%EC%B5%9C%EA%B7%BC%20%EA%B2%80%EC%83%89%EC%96%B4%20%ED%82%A4%EC%9B%8C%EB%93%9C%200b57659d7db782b4878f81e8ec032e16.csv), 검색 결과 화면 (%EA%B2%80%EC%83%89%20%EA%B2%B0%EA%B3%BC%20%ED%99%94%EB%A9%B4%201ba7659d7db7835dad9501aff979eec1.csv), 검색 결과 정렬 (%EA%B2%80%EC%83%89%20%EA%B2%B0%EA%B3%BC%20%EC%A0%95%EB%A0%AC%209d67659d7db782978000019348dfb883.csv), 상품 상세 이동 (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%EC%9D%B4%EB%8F%99%205e17659d7db783a78d92012a5a528124.csv), 검색 결과 페이지 내 장바구니 담기 (%EA%B2%80%EC%83%89%20%EA%B2%B0%EA%B3%BC%20%ED%8E%98%EC%9D%B4%EC%A7%80%20%EB%82%B4%20%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EB%8B%B4%EA%B8%B0%20b017659d7db7826799e181ddb7c7505d.csv), 검색 페이지 내 카테고리 로 둘러보기 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%20%EB%82%B4%20%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%20%EB%A1%9C%20%EB%91%98%EB%9F%AC%EB%B3%B4%EA%B8%B0%207407659d7db783399bea012bc29f23cb.csv), Empty View (Empty%20View%208937659d7db7824c816c818e84a55181.csv)",
회원 탈퇴 요청,FUNC-001-08,탈퇴 사유 입력 후 계정 삭제 (마이페이지 내에서 탈퇴 가능),온보딩|회원관리,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2022e7659d7db783c89e2801344978190e.csv),,탈퇴,매우낮음(5순위),,
리뷰 필터 초기화,,"리뷰 필터 조건 전체 해제, 전체 리뷰 목록으로 초기화",리뷰,리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv),,리뷰 목록,높음(2순위),,
추천 상품 찜 등록/해제,,추천 상품 ‘좋아요’,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,상품 추천,,,
맞춤 추천 상품 조회,,선택된 반려 동물 프로필을 기준으로 개인화 추천 상품 제공,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 상품,높음(2순위),,
타임딜 진행 중 Tab,,,타임딜,메인 페이지 내 타임딜 섹션 → 타임딜 화면 (%EB%A9%94%EC%9D%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20%EB%82%B4%20%ED%83%80%EC%9E%84%EB%94%9C%20%EC%84%B9%EC%85%98%20%E2%86%92%20%ED%83%80%EC%9E%84%EB%94%9C%20%ED%99%94%EB%A9%B4%206937659d7db782a6bb1e01c6c57adeb6.csv),,진행 중,낮음(4순위),,
상품 비교 버튼,,상품 비교 페이지로 이동,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,상품 비교,높음(2순위),,
추천 상품 뷰 정렬,,,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,상품 정렬,,,
상품 공유 버튼,,상품 상세 페이지 공유,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,상품 공유,매우낮음(5순위),,
리뷰 탭 | 리뷰 페이지,,,리뷰,,,,높음(2순위),"리뷰 평균 별점 (%EB%A6%AC%EB%B7%B0%20%ED%8F%89%EA%B7%A0%20%EB%B3%84%EC%A0%90%209437659d7db78247b4c081409a963d15.csv), 리뷰 요약 조회 (%EB%A6%AC%EB%B7%B0%20%EC%9A%94%EC%95%BD%20%EC%A1%B0%ED%9A%8C%2045f7659d7db78397874c81fd17f1b514.csv), 대표 포토 리뷰 조회 (%EB%8C%80%ED%91%9C%20%ED%8F%AC%ED%86%A0%20%EB%A6%AC%EB%B7%B0%20%EC%A1%B0%ED%9A%8C%2084c7659d7db783a983698174e8da4259.csv), 포토리뷰 전체보기 (%ED%8F%AC%ED%86%A0%EB%A6%AC%EB%B7%B0%20%EC%A0%84%EC%B2%B4%EB%B3%B4%EA%B8%B0%206fb7659d7db783bea9f181bf57814045.csv), 리뷰 정렬 (%EB%A6%AC%EB%B7%B0%20%EC%A0%95%EB%A0%AC%20f9f7659d7db78335a647810470e495e3.csv), 리뷰 상세 조회 (%EB%A6%AC%EB%B7%B0%20%EC%83%81%EC%84%B8%20%EC%A1%B0%ED%9A%8C%2077a7659d7db7828cba5381c35f7d5a74.csv), 리뷰 더보기 (%EB%A6%AC%EB%B7%B0%20%EB%8D%94%EB%B3%B4%EA%B8%B0%202417659d7db7826385ae01d61bde5ec7.csv), 리뷰 추천 (%EB%A6%AC%EB%B7%B0%20%EC%B6%94%EC%B2%9C%2012f7659d7db782aab49e018d3a14d36b.csv), 리뷰 신고 (%EB%A6%AC%EB%B7%B0%20%EC%8B%A0%EA%B3%A0%20f6a7659d7db78307afb501a7ed709185.csv), 리뷰 작성 (%EB%A6%AC%EB%B7%B0%20%EC%9E%91%EC%84%B1%200aa7659d7db782438c6b01af3738cf26.csv), 리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv)",
상품 상세 이동,,검색 결과의 상품 카드 또는 상품명 선택 시 해당 상품의 상품 상세 화면으로 이동,검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,검색 상품 상세 진입,높음(2순위),,
"사용기한, 재구매 여부 등",,리뷰 자체에 대한 옵션이 있을 경우,리뷰,리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv),,리뷰 유형,보통(3순위),,
추천 기준 조회,,현재 반려동물에게 중요한 상품 선택 기준을 태그 형태로 제공,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 상품,낮음(4순위),,
검색 결과 화면,,,검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,검색 결과 조회,높음(2순위),,
재입고 알림 신청,,품절일 경우 장바구니/바로 구매 버튼 → 재입고 알림 신청 버튼,상품 상세,상품 상세 페이지 (공통) (%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20(%EA%B3%B5%ED%86%B5)%204b37659d7db783f38a0981f400cd85ba.csv),,재입고,낮음(4순위),,
,,,,리뷰 필터 부분 (%EB%A6%AC%EB%B7%B0%20%ED%95%84%ED%84%B0%20%EB%B6%80%EB%B6%84%206c57659d7db783c4baa3012b5c8cc915.csv),,,,,
타임딜이 없는 경우,,,타임딜,메인 페이지 내 타임딜 섹션 → 타임딜 화면 (%EB%A9%94%EC%9D%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20%EB%82%B4%20%ED%83%80%EC%9E%84%EB%94%9C%20%EC%84%B9%EC%85%98%20%E2%86%92%20%ED%83%80%EC%9E%84%EB%94%9C%20%ED%99%94%EB%A9%B4%206937659d7db782a6bb1e01c6c57adeb6.csv),,"타임딜 Empty ",낮음(4순위),,
장바구니 담기,,비교 화면 내 선택한 상품 장바구니에 추가,상품 비교,메인 네비게이션 내 상품 비교 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20bd17659d7db783bcbf1f81e82ed6ba42.csv),,구매,높음(2순위),,
카테고리별 추천 상품 조회,,각 상품 카테고리별 추천 상품 제공,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 상품,높음(2순위),,
배너 상세 진입,,배너 선택 시 설정된 상품/이벤트/콘텐츠 상세 화면으로 이동 (해당 부분은 정적 data를 이용할 예정입니다(MVP 기준),메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,배너 광고,낮음(4순위),,
